Quarter,Time,Tm,Detail,TEN,CIN
1.0,9:48,Bengals,Randy Bullock 33 yard field goal,0,3
2.0,10:26,Bengals,Samaje Perine 1 yard rush (Randy Bullock kick),0,10
,6:04,Titans,Derrick Henry 3 yard rush (Stephen Gostkowski kick),7,10
,0:32,Bengals,Giovani Bernard 12 yard rush (Randy Bullock kick),7,17
4.0,13:55,Bengals,Tyler Boyd 7 yard pass from Joe Burrow (Randy Bullock kick),7,24
,11:20,Titans,A.J. Brown 9 yard pass from Ryan Tannehill (Stephen Gostkowski kick),14,24
,7:30,Bengals,Giovani Bernard 6 yard pass from Joe Burrow (Randy Bullock kick),14,31
,5:56,Titans,Corey Davis 12 yard pass from Ryan Tannehill (pass failed),20,31
