Unnamed: 0,NWE,DEN
First Downs,26,25
Rush-Yds-TDs,36-141-3,31-252-3
Cmp-Att-Yd-TD-INT,23-34-320-2-0,11-23-194-0-0
Sacked-Yards,2-10,4-53
Net Pass Yards,310,141
Total Yards,451,393
Fumbles-Lost,1-0,4-3
Turnovers,0,3
Penalties-Yards,4-30,7-39
Third Down Conv.,5-12,4-10
Fourth Down Conv.,1-2,0-2
Time of Possession,33:41,26:19
