Unnamed: 0,BAL,PIT
First Downs,19,17
Rush-Yds-TDs,25-125-1,30-87-0
Cmp-Att-Yd-TD-INT,22-38-236-0-1,18-32-224-1-0
Sacked-Yards,4-26,3-22
Net Pass Yards,210,202
Total Yards,335,289
Fumbles-Lost,4-2,1-1
Turnovers,3,1
Penalties-Yards,2-20,3-30
Third Down Conv.,5-14,6-15
Fourth Down Conv.,0-2,0-0
Time of Possession,30:14,29:46
