Unnamed: 0,BUF,MIA
First Downs,22,19
Rush-Yds-TDs,34-168-1,13-23-2
Cmp-Att-Yd-TD-INT,21-33-256-3-0,32-45-323-0-0
Sacked-Yards,0-0,7-43
Net Pass Yards,256,280
Total Yards,424,303
Fumbles-Lost,2-0,1-1
Turnovers,0,1
Penalties-Yards,5-50,6-44
Third Down Conv.,5-14,4-14
Fourth Down Conv.,1-1,1-4
Time of Possession,30:09,29:51
