Quarter,Time,Tm,Detail,BUF,MIA
1.0,12:04,Bills,Stephen Hauschka 51 yard field goal,3,0
,4:29,Bills,Stephen Hauschka 34 yard field goal,6,0
2.0,13:09,Bills,John Brown 40 yard pass from Josh Allen (Stephen Hauschka kick),13,0
,7:41,Bills,Stephen Hauschka 21 yard field goal,16,0
,3:39,Dolphins,Kalen Ballage 3 yard rush (Jason Sanders kick),16,7
,1:23,Bills,Dawson Knox 23 yard pass from Josh Allen (Stephen Hauschka kick),23,7
,1:09,Dolphins,Jakeem Grant 101 yard kickoff return (Jason Sanders kick),23,14
3.0,6:55,Bills,Josh Allen 8 yard rush (Stephen Hauschka kick),30,14
4.0,14:35,Dolphins,Jakeem Grant 7 yard rush (pass failed),30,20
,10:38,Bills,John Brown 9 yard pass from Josh Allen (Stephen Hauschka kick),37,20
