#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BUF 25,7,2:56,42,Field Goal
2,1,9:46,MIA 42,11,5:17,27,Field Goal
3,1,0:21,BUF 19,5,2:12,81,Touchdown
4,2,11:02,BUF 35,7,3:21,62,Field Goal
5,2,6:24,BUF 18,3,0:48,-1,Punt
6,2,3:33,BUF 25,6,2:10,75,Touchdown
7,2,1:09,BUF 25,3,0:22,3,Punt
8,3,11:48,BUF 47,9,4:53,53,Touchdown
9,3,4:39,BUF 12,3,1:18,7,Punt
10,4,14:35,BUF 38,8,3:57,62,Touchdown
11,4,8:39,BUF 43,4,0:37,13,Punt
12,4,3:40,BUF 4,3,1:38,7,Punt
13,4,0:40,BUF 31,1,0:40,-1,End of Game
