Unnamed: 0,ATL,NYG
First Downs,18,21
Rush-Yds-TDs,20-69-0,27-100-1
Cmp-Att-Yd-TD-INT,27-36-243-2-0,24-35-266-0-0
Sacked-Yards,3-16,2-20
Net Pass Yards,227,246
Total Yards,296,346
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,4-28,8-53
Third Down Conv.,5-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:09,31:51
