Quarter,Time,Tm,Detail,ATL,NYG
1.0,6:58,Giants,Graham Gano 25 yard field goal,0,3
2.0,8:13,Giants,Graham Gano 31 yard field goal,0,6
,1:33,Falcons,Olamide Zaccheaus 4 yard pass from Matt Ryan (Younghoe Koo kick),7,6
4.0,12:53,Giants,Saquon Barkley 1 yard rush (Daniel Jones run),7,14
,4:13,Falcons,Lee Smith 1 yard pass from Matt Ryan (Younghoe Koo kick),14,14
,0:00,Falcons,Younghoe Koo 40 yard field goal,17,14
