Unnamed: 0,CIN,BAL
First Downs,25,17
Rush-Yds-TDs,35-95-1,25-118-0
Cmp-Att-Yd-TD-INT,19-26-248-2-0,19-31-153-0-0
Sacked-Yards,2-14,3-31
Net Pass Yards,234,122
Total Yards,329,240
Fumbles-Lost,4-1,2-1
Turnovers,1,1
Penalties-Yards,5-54,7-40
Third Down Conv.,7-11,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,33:26,26:34
