Unnamed: 0,WAS,TEN
First Downs,17,20
Rush-Yds-TDs,34-161-0,27-99-1
Cmp-Att-Yd-TD-INT,13-23-153-1-2,17-25-211-1-0
Sacked-Yards,2-22,3-19
Net Pass Yards,131,192
Total Yards,292,291
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-49,2-10
Third Down Conv.,8-14,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:03,26:57
