Quarter,Time,Tm,Detail,WAS,TEN
1.0,12:09,Redskins,Dustin Hopkins 50 yard field goal,3,0
,5:37,Titans,Derrick Henry 1 yard rush (Ryan Succop kick failed),3,6
2.0,4:28,Redskins,Michael Floyd 7 yard pass from Josh Johnson (Dustin Hopkins kick),10,6
,0:00,Titans,Ryan Succop 42 yard field goal,10,9
3.0,4:57,Redskins,Dustin Hopkins 40 yard field goal,13,9
4.0,14:55,Titans,Ryan Succop 33 yard field goal,13,12
,8:09,Redskins,Dustin Hopkins 46 yard field goal,16,12
,4:30,Titans,MyCole Pruitt 2 yard pass from Blaine Gabbert (Ryan Succop kick),16,19
,0:00,Titans,Malcolm Butler 56 yard interception return,16,25
