Unnamed: 0,MIN,NOR
First Downs,22,19
Rush-Yds-TDs,40-136-2,17-97-1
Cmp-Att-Yd-TD-INT,19-31-242-1-0,27-34-258-1-1
Sacked-Yards,3-16,3-31
Net Pass Yards,226,227
Total Yards,362,324
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,4-26,6-52
Third Down Conv.,10-18,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:56,27:24
