Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,"Kirk Cousins pass incomplete short left intended for Stefon Diggs. Penalty on Janoris Jenkins: Defensive Holding, 5 yards (no play)",0.610,0.940
1,14:56,1,10,MIN 30,0,0,Dalvin Cook left guard for 9 yards (tackle by Marcus Williams and Janoris Jenkins),0.940,1.610
1,14:18,2,1,MIN 39,0,0,"Kirk Cousins pass complete short right to Adam Thielen for 3 yards (tackle by Janoris Jenkins). Adam Thielen fumbles (forced by Janoris Jenkins), recovered by Vonn Bell at MIN-43 and returned for 6 yards (tackle by Kyle Rudolph)",1.610,-3.120
1,14:10,1,10,MIN 37,0,0,Alvin Kamara left guard for 4 yards (tackle by Linval Joseph and Eric Kendricks),3.120,3.110
1,13:39,2,6,MIN 33,0,0,Latavius Murray left guard for 5 yards (tackle by Anthony Barr and Danielle Hunter),3.110,3.070
1,13:06,3,1,MIN 28,0,0,Taysom Hill right tackle for 2 yards (tackle by Eric Wilson),3.070,3.840
1,12:23,1,10,MIN 26,0,0,Drew Brees pass complete short left to Michael Thomas for 12 yards (tackle by Andrew Sendejo and Anthony Harris),3.840,4.650
1,12:00,1,10,MIN 14,0,0,"Drew Brees pass incomplete short left intended for Alvin Kamara. Penalty on Everson Griffen: Illegal Use of Hands, 5 yards (no play)",4.650,5.140
1,11:56,1,9,MIN 9,0,0,Latavius Murray left guard for 1 yard (tackle by Xavier Rhodes and Shamar Stephen),5.140,4.570
1,11:12,2,8,MIN 8,0,0,Drew Brees pass complete short right to Jared Cook for 4 yards (tackle by Harrison Smith),4.570,4.490
1,10:33,3,4,MIN 4,0,0,Drew Brees sacked by and Everson Griffen for -7 yards and Danielle Hunter for -7 yards,4.490,2.700
1,9:56,4,11,MIN 11,0,3,Wil Lutz 29 yard field goal good,2.700,3.000
1,9:52,,,NOR 35,0,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,9:52,1,10,MIN 25,0,3,Dalvin Cook right end for 7 yards (tackle by David Onyemata and Demario Davis),0.610,1.010
1,9:15,2,3,MIN 32,0,3,Dalvin Cook left guard for 3 yards (tackle by David Onyemata),1.010,1.270
1,8:41,1,10,MIN 35,0,3,Dalvin Cook left end for -1 yards (tackle by Shy Tuttle and Janoris Jenkins),1.270,0.590
1,8:03,2,11,MIN 34,0,3,Kirk Cousins pass complete short right to Alexander Mattison for 10 yards (tackle by Chauncey Gardner-Johnson),0.590,1.220
1,7:24,3,1,MIN 44,0,3,Dalvin Cook left end for 7 yards (tackle by Kiko Alonso),1.220,2.320
1,6:42,1,10,NOR 49,0,3,Kirk Cousins pass complete short middle to Kyle Rudolph for 5 yards (tackle by Demario Davis),2.320,2.460
1,6:06,2,5,NOR 44,0,3,Alexander Mattison right end for 16 yards (tackle by Marcus Williams),2.460,3.710
1,5:40,1,10,NOR 28,0,3,Stefon Diggs sacked by and Malcom Brown for -6 yards and Janoris Jenkins for -6 yards,3.710,2.360
1,4:52,2,16,NOR 34,0,3,Kirk Cousins pass incomplete deep middle intended for Kyle Rudolph (defended by Shy Tuttle),2.360,1.680
1,4:47,3,16,NOR 34,0,3,Kirk Cousins pass complete short middle to Olabisi Johnson for 9 yards (tackle by Vonn Bell),1.680,1.800
1,4:09,4,7,NOR 25,3,3,Dan Bailey 43 yard field goal good,1.800,3.000
1,4:05,,,MIN 35,3,3,"Dan Bailey kicks off 63 yards, returned by Deonte Harris for 22 yards (tackle by Holton Hill). Penalty on Ricky Ortiz: Illegal Double-Team Block, 12 yards",0.000,-0.350
1,3:58,1,10,NOR 12,3,3,Drew Brees pass complete short left to Michael Thomas for 5 yards (tackle by Xavier Rhodes),-0.350,-0.230
1,3:24,2,5,NOR 17,3,3,Alvin Kamara right tackle for -1 yards (tackle by Anthony Barr),-0.230,-0.950
1,2:49,3,6,NOR 16,3,3,Drew Brees pass incomplete short left intended for Alvin Kamara,-0.950,-2.390
1,2:45,4,6,NOR 16,3,3,"Thomas Morstead punts 48 yards, fair catch by Marcus Sherels at MIN-36",-2.390,-1.330
1,2:36,1,10,MIN 36,3,3,Dalvin Cook left end for 11 yards (tackle by Vonn Bell),1.330,2.060
1,2:17,1,10,MIN 47,3,3,Dalvin Cook left end for 3 yards (tackle by David Onyemata),2.060,1.920
1,1:43,2,7,MIN 50,3,3,"Alexander Mattison left end for 12 yards (tackle by David Onyemata). Penalty on Adam Thielen: Offensive Holding, 10 yards (no play)",1.920,0.570
1,1:23,2,17,MIN 40,3,3,Kirk Cousins pass complete short right to Kyle Rudolph for 9 yards (tackle by Marshon Lattimore),0.570,1.090
1,0:49,3,8,MIN 49,3,3,Kirk Cousins sacked by Trey Hendrickson for -6 yards,1.090,-0.520
Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,14,MIN 43,3,3,"Britton Colquitt punts 57 yards, touchback.",-0.520,-0.280
2,14:52,1,10,NOR 20,3,3,Drew Brees pass complete short left to Michael Thomas for 15 yards (tackle by Xavier Rhodes),0.280,1.270
2,14:32,1,10,NOR 35,3,3,Drew Brees pass complete short right to Josh Hill for 1 yard (tackle by Eric Wilson),1.270,0.860
2,14:00,2,9,NOR 36,3,3,Drew Brees pass incomplete short right intended for Josh Hill (defended by Danielle Hunter),0.860,0.170
