Quarter,Time,Tm,Detail,MIN,NOR
1,9:52,Saints,Wil Lutz 29 yard field goal,0,3
,4:05,Vikings,Dan Bailey 43 yard field goal,3,3
2,9:18,Saints,Alvin Kamara 4 yard rush (Wil Lutz kick),3,10
,2:54,Vikings,Dan Bailey 21 yard field goal,6,10
,0:23,Vikings,Dalvin Cook 5 yard rush (Dan Bailey kick),13,10
3,3:23,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),20,10
4,10:31,Saints,Taysom Hill 20 yard pass from Drew Brees (Wil Lutz kick),20,17
,0:02,Saints,Wil Lutz 49 yard field goal,20,20
OT,10:40,Vikings,Kyle Rudolph 4 yard pass from Kirk Cousins,26,20
