Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 67 yards, returned by Darren Sproles for 19 yards (tackle by Melvin Bullitt)",0.000,0.410
1,14:55,1,10,SDG 22,0,0,LaDainian Tomlinson right end for 13 yards (tackle by Bob Sanders),0.410,1.270
1,14:16,1,10,SDG 35,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Bob Sanders),1.270,0.990
1,13:39,2,8,SDG 37,0,0,Philip Rivers pass complete short right to Antonio Gates for 6 yards (tackle by Freddie Keiaho),0.990,1.090
1,12:57,3,2,SDG 43,0,0,Philip Rivers sacked by Robert Mathis for -4 yards,1.090,-0.780
1,12:36,4,6,SDG 39,0,0,"Mike Scifres punts 51 yards, fair catch by Keiwan Ratliff",-0.780,0.380
1,12:28,1,10,IND 10,0,0,Peyton Manning pass complete short right to Marvin Harrison for 8 yards (tackle by Quentin Jammer),-0.380,0.070
1,11:54,2,2,IND 18,0,0,Joseph Addai right tackle for no gain (tackle by Jyles Tucker),0.070,-0.480
1,11:19,3,2,IND 18,0,0,Peyton Manning pass complete short left to Anthony Gonzalez for 13 yards (tackle by Steve Gregory),-0.480,1.000
1,10:37,1,10,IND 31,0,0,Peyton Manning pass incomplete short right intended for Marvin Harrison,1.000,0.460
1,10:32,2,10,IND 31,0,0,"Penalty on Tony Ugoh: False Start, 5 yards (no play)",0.460,-0.220
1,10:32,2,15,IND 26,0,0,"Peyton Manning pass incomplete deep right intended for Marvin Harrison. Penalty on Quentin Jammer: Defensive Pass Interference, 30 yards (no play)",-0.220,2.650
1,10:28,1,10,SDG 44,0,0,Joseph Addai right tackle for 2 yards (tackle by Luis Castillo and Stephen Cooper),2.650,2.380
1,9:54,2,8,SDG 42,0,0,Peyton Manning pass incomplete deep left intended for Reggie Wayne,2.380,1.690
1,9:49,3,8,SDG 42,0,0,Peyton Manning pass incomplete deep middle intended for Reggie Wayne,1.690,0.460
1,9:44,4,8,SDG 42,0,0,"Hunter Smith punts 42 yards, touchback",0.460,-0.280
1,9:33,1,10,SDG 20,0,0,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,0.280,-0.270
1,9:28,2,10,SDG 20,0,0,Darren Sproles up the middle for no gain (tackle by Bob Sanders and Robert Mathis),-0.270,-0.960
1,8:48,3,10,SDG 20,0,0,Philip Rivers pass complete short left to Antonio Gates for 7 yards (tackle by Keiwan Ratliff),-0.960,-1.570
1,8:13,4,3,SDG 27,0,0,"Mike Scifres punts 58 yards, returned by Keiwan Ratliff for 4 yards (tackle by Antwan Applewhite)",-1.570,-0.150
1,8:01,1,10,IND 19,0,0,"Penalty on Daniel Federkeil: False Start, 5 yards (no play)",0.150,-0.390
1,8:01,1,15,IND 14,0,0,Peyton Manning pass complete short left to Dallas Clark for 4 yards (tackle by Antoine Cason),-0.390,-0.560
1,7:28,2,11,IND 18,0,0,Peyton Manning pass complete short middle to Anthony Gonzalez for 6 yards (tackle by Antoine Cason),-0.560,-0.420
1,6:46,3,5,IND 24,0,0,Peyton Manning pass complete short left to Reggie Wayne for 9 yards (tackle by Shaun Phillips),-0.420,1.140
1,6:14,1,10,IND 33,0,0,Joseph Addai left tackle for 3 yards (tackle by Igor Olshansky),1.140,1.000
1,5:33,2,7,IND 36,0,0,Peyton Manning pass complete short left to Dallas Clark for 9 yards (tackle by Antonio Cromartie),1.000,1.930
1,4:51,1,10,IND 45,0,0,Peyton Manning pass complete short left to Anthony Gonzalez for 36 yards (tackle by Antonio Cromartie),1.930,4.310
1,4:05,1,10,SDG 19,0,0,Peyton Manning pass complete deep right to Anthony Gonzalez for 17 yards (tackle by Quentin Jammer),4.310,6.740
1,3:38,1,2,SDG 2,0,0,Joseph Addai up the middle for 1 yard (tackle by Jacques Cesaire),6.740,5.910
1,3:02,2,1,SDG 1,6,0,"Joseph Addai up the middle for 1 yard, touchdown",5.910,7.000
1,,,,SDG 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Adam Vinatieri kicks off 68 yards, returned by Darren Sproles for 24 yards (tackle by Darrell Reid)",0.000,0.670
1,2:54,1,10,SDG 26,7,0,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Clint Session),0.670,0.940
1,2:27,2,4,SDG 32,7,0,"Philip Rivers pass incomplete deep right intended for Brandon Manumaleuna. Penalty on Mike Goff: Ineligible Downfield Pass, 5 yards (no play)",0.940,0.270
1,2:18,2,9,SDG 27,7,0,Philip Rivers pass incomplete short middle intended for Darren Sproles,0.270,-0.430
1,2:14,3,9,SDG 27,7,0,Darren Sproles up the middle for 13 yards (tackle by Keiwan Ratliff and Bob Sanders),-0.430,1.600
1,1:33,1,10,SDG 40,7,0,LaDainian Tomlinson right tackle for 4 yards (tackle by Keyunta Dawson and Antonio Johnson),1.600,1.590
1,0:52,2,6,SDG 44,7,0,Darren Sproles right tackle for 3 yards (tackle by Antonio Johnson),1.590,1.290
1,0:11,3,3,SDG 47,7,0,Philip Rivers pass incomplete short right intended for Chris Chambers (defended by Melvin Bullitt),1.290,-0.260
1,0:07,4,3,SDG 47,7,0,Mike Scifres punts 50 yards,-0.260,0.380
Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 3,7,0,Dominic Rhodes left tackle for 1 yard (tackle by Igor Olshansky and Jamal Williams),-0.380,-0.710
2,14:21,2,9,IND 4,7,0,Peyton Manning pass complete short right to Gijon Robinson for 3 yards (tackle by Antonio Cromartie),-0.710,-0.950
2,13:39,3,6,IND 7,7,0,Peyton Manning pass complete short middle to Anthony Gonzalez for 5 yards (tackle by Antoine Cason),-0.950,-2.490
2,12:50,4,1,IND 12,7,0,"Penalty on Hunter Smith: Delay of Game, 4 yards (no play)",-2.490,-2.490
2,12:44,4,5,IND 8,7,0,"Hunter Smith punts 54 yards, returned by Darren Sproles for 18 yards (tackle by Justin Snow)",-2.490,-2.650
2,12:33,1,10,IND 44,7,0,Philip Rivers pass complete short right to Antonio Gates for 8 yards (tackle by Bob Sanders),2.650,3.190
2,11:51,2,2,IND 36,7,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Keyunta Dawson and Bob Sanders),3.190,3.380
2,11:08,1,10,IND 33,7,0,Philip Rivers pass complete short left to Antonio Gates for 30 yards (tackle by Keyunta Dawson),3.380,6.510
2,10:18,1,3,IND 3,7,6,"LaDainian Tomlinson left tackle for 3 yards, touchdown",6.510,7.000
2,,,,IND 2,7,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,7,"Nate Kaeding kicks off 50 yards, returned by Darrell Reid for 13 yards (tackle by Legedu Naanee)",0.000,1.140
2,10:10,1,10,IND 33,7,7,Peyton Manning pass complete deep right to Anthony Gonzalez for 20 yards (tackle by Antoine Cason),1.140,2.460
2,9:32,1,10,SDG 47,7,7,Joseph Addai up the middle for 1 yard (tackle by Stephen Cooper),2.460,2.050
2,8:54,2,9,SDG 46,7,7,Peyton Manning pass complete short left to Joseph Addai for 8 yards (tackle by Eric Weddle),2.050,2.410
2,8:10,3,1,SDG 38,7,7,Dallas Clark left end for 9 yards (tackle by Eric Weddle),2.410,3.640
2,7:35,1,10,SDG 29,7,7,Peyton Manning pass incomplete deep left intended for Reggie Wayne,3.640,3.100
2,7:32,2,10,SDG 29,7,7,Peyton Manning pass incomplete short middle intended for Anthony Gonzalez (defended by Antoine Cason),3.100,2.410
2,7:28,3,10,SDG 29,7,7,Peyton Manning pass complete short right to Dallas Clark for 4 yards (tackle by Eric Weddle),2.410,1.830
2,6:51,4,6,SDG 25,10,7,Adam Vinatieri 43 yard field goal good,1.830,3.000
2,,,,IND 30,10,7,"Adam Vinatieri kicks off 73 yards, returned by Darren Sproles for 32 yards (tackle by Keiwan Ratliff)",0.000,0.870
2,6:39,1,10,SDG 29,10,7,Darren Sproles up the middle for 1 yard (tackle by Clint Session),0.870,0.460
2,6:04,2,9,SDG 30,10,7,Philip Rivers sacked by Dwight Freeney for -7 yards,0.460,-1.150
