Unnamed: 0,IND,SDG
First Downs,17,26
Rush-Yds-TDs,22-64-1,33-167-3
Cmp-Att-Yd-TD-INT,25-42-310-1-0,20-36-217-0-1
Sacked-Yards,1-8,4-27
Net Pass Yards,302,190
Total Yards,366,357
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,9-74,3-40
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,29:11,37:09
