Unnamed: 0,STL,ARI
First Downs,12,26
Rush-Yds-TDs,10-22-0,40-131-2
Cmp-Att-Yd-TD-INT,17-36-189-0-1,22-34-287-2-0
Sacked-Yards,4-26,2-16
Net Pass Yards,163,271
Total Yards,185,402
Fumbles-Lost,4-1,2-1
Turnovers,2,1
Penalties-Yards,9-74,7-67
Third Down Conv.,3-12,8-17
Fourth Down Conv.,0-0,1-1
Time of Possession,22:31,37:29
