Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 72 yards, returned by Arlen Harris for 15 yards (tackle by Gerald Hayes)",0.000,-0.320
1,14:56,1,10,STL 13,0,0,Chris Chandler pass complete to Torry Holt for 1 yard (tackle by David Macklin),-0.320,-0.680
1,14:17,2,9,STL 14,0,0,Chris Chandler pass incomplete intended for Torry Holt,-0.680,-1.300
1,14:13,3,9,STL 14,0,0,Chris Chandler sacked by Bertrand Berry and David Macklin for -8 yards,-1.300,-2.490
1,13:41,4,17,STL 6,0,0,"Kevin Stemke punts 44 yards, returned by Duane Starks for no gain. Penalty on Larry Fitzgerald: Personal Foul, 16 yards",-2.490,-1.200
1,13:30,1,10,ARI 34,0,0,Josh McCown pass complete to Freddie Jones for 7 yards (tackle by Pisa Tinoisamoa),1.200,1.600
1,12:43,2,3,ARI 41,0,0,Emmitt Smith up the middle for 3 yards (tackle by Robert W. Thomas),1.600,1.860
1,12:09,1,10,ARI 44,0,0,Josh McCown pass incomplete intended for Anquan Boldin (defended by Antuan Edwards),1.860,1.320
1,12:05,2,10,ARI 44,0,0,Josh McCown sacked by Adam Archuleta for -6 yards,1.320,-0.160
1,11:22,3,16,ARI 38,0,0,Josh McCown left end for 1 yard (tackle by Travis Fisher),-0.160,-0.780
1,10:44,4,15,ARI 39,0,0,"Scott Player punts 50 yards, returned by Shaun McDonald for 7 yards (tackle by Quentin Harris)",-0.780,-0.040
1,10:36,1,10,STL 18,0,0,Marshall Faulk up the middle for 2 yards (tackle by Russell Davis and James Darling),0.040,-0.130
1,10:00,2,8,STL 20,0,0,Chris Chandler pass incomplete intended for Isaac Bruce,-0.130,-0.910
1,9:54,3,8,STL 20,0,0,Chris Chandler pass incomplete intended for Torry Holt,-0.910,-2.030
1,9:49,4,8,STL 20,0,0,"Kevin Stemke punts 42 yards, returned by Duane Starks for 2 yards (tackle by Joey Goodspeed). Penalty on Quentin Harris: Offensive Holding, 11 yards",-2.030,-0.740
1,9:36,1,10,ARI 27,0,0,Emmitt Smith left end for 2 yards (tackle by Anthony Hargrove),0.740,0.470
1,8:54,2,8,ARI 29,0,0,Josh McCown pass incomplete intended for Eric Edwards (defended by Travis Fisher),0.470,-0.230
1,8:49,3,8,ARI 29,0,0,Josh McCown pass complete to Anquan Boldin for 12 yards (tackle by DeJuan Groce),-0.230,1.660
1,8:05,1,10,ARI 41,0,0,Josh McCown left end for 6 yards (tackle by Pisa Tinoisamoa),1.660,1.930
1,7:38,2,4,ARI 47,0,0,Josh McCown pass incomplete intended for Freddie Jones,1.930,1.220
1,7:33,3,4,ARI 47,0,0,Josh McCown pass complete to Bryant Johnson for 30 yards,1.220,4.040
1,7:21,1,10,STL 23,0,0,Emmitt Smith right end for 19 yards (tackle by Antuan Edwards),4.040,6.280
1,6:29,1,4,STL 4,0,0,Josh McCown right end for 3 yards (tackle by Antuan Edwards and Robert W. Thomas),6.280,5.910
1,5:52,2,1,STL 1,0,0,Obafemi Ayanbadejo up the middle for no gain (tackle by Ryan Pickett),5.910,5.170
1,5:28,3,1,STL 1,0,6,"Josh McCown up the middle for 1 yard, touchdown",5.170,7.000
1,,,,STL 2,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,0,7,"Neil Rackers kicks off 72 yards, returned by Arlen Harris for 24 yards (tackle by Isaac Keys)",0.000,0.410
1,5:17,1,10,STL 22,0,7,Chris Chandler pass incomplete intended for Torry Holt is intercepted by David Macklin at STL-44,0.410,-2.650
1,5:09,1,10,STL 44,0,7,Emmitt Smith left tackle for 7 yards (tackle by Travis Fisher),2.650,3.060
1,4:30,2,3,STL 37,0,7,Emmitt Smith right end for 1 yard (tackle by Robert W. Thomas),3.060,2.480
1,3:52,3,2,STL 36,0,7,Josh McCown left tackle for 1 yard (tackle by Pisa Tinoisamoa),2.480,1.000
1,3:13,4,1,STL 35,0,7,Obafemi Ayanbadejo up the middle for 2 yards (tackle by Robert W. Thomas and Anthony Hargrove),1.000,3.380
1,2:39,1,10,STL 33,0,7,Josh Scobey right tackle for 3 yards (tackle by Pisa Tinoisamoa),3.380,3.240
1,2:02,2,7,STL 30,0,7,Josh McCown pass incomplete intended for Bryant Johnson,3.240,2.540
1,2:00,3,7,STL 30,0,7,Josh McCown pass incomplete intended for Larry Fitzgerald,2.540,1.410
1,1:51,4,7,STL 30,0,10,Neil Rackers 48 yard field goal good,1.410,3.000
1,,,,ARI 30,0,10,"Neil Rackers kicks off 67 yards, returned by Arlen Harris for 25 yards (tackle by Neil Rackers)",0.000,0.810
1,1:40,1,10,STL 28,0,10,Marshall Faulk left end for -3 yards (tackle by James Darling and Karlos Dansby),0.810,-0.140
1,0:59,2,13,STL 25,0,10,Chris Chandler pass incomplete intended for Kevin Curtis,-0.140,-0.820
1,0:56,3,13,STL 25,0,10,Chris Chandler sacked by Renaldo Hill for -12 yards,-0.820,-2.490
1,0:21,4,25,STL 13,0,10,"Kevin Stemke punts 42 yards, returned by Duane Starks for 10 yards (tackle by Chris Massey)",-2.490,-2.590
1,0:10,1,10,STL 45,0,10,Josh McCown pass complete to Emmitt Smith for 16 yards (tackle by Pisa Tinoisamoa),2.590,3.640
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 29,0,10,Emmitt Smith up the middle for 2 yards (tackle by Anthony Hargrove),3.640,3.370
2,14:26,2,8,STL 27,0,10,Emmitt Smith right tackle for -2 yards (tackle by Pisa Tinoisamoa),3.370,2.410
2,13:46,3,10,STL 29,0,10,Josh McCown pass complete to Josh Scobey for 13 yards (tackle by Antuan Edwards),2.410,4.510
2,13:06,1,10,STL 16,0,10,Emmitt Smith right tackle for 8 yards (tackle by Adam Archuleta and Antuan Edwards),4.510,5.350
2,12:29,2,2,STL 8,0,16,"Josh McCown pass complete to Larry Fitzgerald for 8 yards, touchdown. Penalty on Travis Fisher: Defensive Pass Interference (Declined)",5.350,7.000
2,,,,STL 2,0,17,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,0,17,"Neil Rackers kicks off 75 yards, touchback",0.000,0.280
2,12:24,1,10,STL 20,0,17,Jamie Martin pass complete to Brandon Manumaleuna for 10 yards (tackle by Karlos Dansby),0.280,0.940
2,11:45,1,10,STL 30,0,17,Jamie Martin pass incomplete intended for Torry Holt,0.940,0.390
2,11:39,2,10,STL 30,0,17,Marshall Faulk left end for 2 yards (tackle by Karlos Dansby and Ifeanyi Ohalete),0.390,-0.030
2,11:04,,,,0,17,Timeout #1 by St. Louis Rams,0.000,-0.030
2,11:04,3,8,STL 32,0,17,Jamie Martin pass complete to Isaac Bruce for 11 yards (tackle by David Macklin),-0.030,1.800
2,10:27,1,10,STL 43,0,17,Jamie Martin pass incomplete intended for Isaac Bruce,1.800,1.250
2,10:27,2,10,STL 43,0,17,"Penalty on Blaine Saipaia: False Start, 5 yards (no play)",1.250,0.580
2,10:23,2,15,STL 38,0,17,Jamie Martin pass complete to Isaac Bruce for 9 yards (tackle by David Macklin),0.580,1.090
2,9:38,3,6,STL 47,0,17,Jamie Martin pass incomplete intended for Isaac Bruce (defended by Renaldo Hill),1.090,-0.260
2,9:34,4,6,STL 47,0,17,"Kevin Stemke punts 39 yards, fair catch by Duane Starks",-0.260,0.280
2,9:25,1,10,ARI 14,0,17,Emmitt Smith up the middle for no gain (tackle by Adam Archuleta and Tommy Polley),-0.280,-0.750
