Unnamed: 0,PIT,BAL
First Downs,19,25
Rush-Yds-TDs,16-48-1,47-265-1
Cmp-Att-Yd-TD-INT,21-32-182-2-0,13-28-208-2-2
Sacked-Yards,2-9,4-16
Net Pass Yards,173,192
Total Yards,221,457
Fumbles-Lost,3-1,4-2
Turnovers,1,4
Penalties-Yards,3-30,9-110
Third Down Conv.,3-9,8-15
Fourth Down Conv.,0-0,1-2
Time of Possession,24:38,35:22
