Quarter,Time,Tm,Detail,PIT,BAL
1.0,14:06,Steelers,Robert Spillane 33 yard interception return (Chris Boswell kick),7,0
,8:44,Ravens,Miles Boykin 6 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2.0,7:24,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),7,14
,0:00,Ravens,Justin Tucker 51 yard field goal,7,17
3.0,13:21,Steelers,Eric Ebron 18 yard pass from Ben Roethlisberger (Chris Boswell kick),14,17
,5:38,Steelers,James Conner 1 yard rush (Chris Boswell kick),21,17
4.0,11:56,Ravens,Marquise Brown 3 yard pass from Lamar Jackson (Justin Tucker kick),21,24
,7:29,Steelers,Chase Claypool 8 yard pass from Ben Roethlisberger (Chris Boswell kick),28,24
