Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
1,6:50,2,6,CAR 6,0,0,Marshall Faulk left end for 3 yards (tackle by Mike Minter),4.950,4.720
1,6:18,3,3,CAR 3,0,0,Marc Bulger left tackle for 1 yard (tackle by Reggie Howard),4.720,3.250
1,5:37,4,2,CAR 2,0,3,Jeff Wilkins 20 yard field goal good,3.250,3.000
1,,,,STL 30,0,3,"Jeff Wilkins kicks off 72 yards, returned by Rod Smart for 30 yards (tackle by Jamie Duncan)",0.000,0.810
1,5:27,1,10,CAR 28,0,3,"Penalty on Jermaine Wiggins: False Start, 5 yards (no play)",0.810,0.480
1,5:27,1,15,CAR 23,0,3,Stephen Davis left tackle for 12 yards (tackle by Adam Archuleta and Aeneas Williams),0.480,1.210
1,4:50,2,3,CAR 35,0,3,Jake Delhomme pass complete to Muhsin Muhammad for no gain,1.210,0.500
1,4:06,3,3,CAR 35,0,3,DeShaun Foster right end for 4 yards (tackle by Tommy Polley and Grant Wistrom),0.500,1.530
1,3:25,1,10,CAR 39,0,3,Stephen Davis right tackle for 2 yards (tackle by Pisa Tinoisamoa and Ryan Pickett),1.530,1.260
1,2:46,2,8,CAR 41,0,3,Jake Delhomme pass complete to Steve Smith for 14 yards (tackle by Travis Fisher),1.260,2.590
1,2:09,1,10,STL 45,0,3,Stephen Davis right tackle for 3 yards (tackle by Ryan Pickett and Adam Archuleta),2.590,2.450
1,1:34,2,7,STL 42,0,3,Stephen Davis right end for -1 yards (tackle by Robert W. Thomas),2.450,1.620
1,0:52,3,8,STL 43,0,3,Jake Delhomme pass incomplete intended for Steve Smith is intercepted by Tommy Polley at STL-38 and returned for 37 yards (tackle by DeShaun Foster),1.620,-3.910
1,0:41,1,10,CAR 25,0,3,Marshall Faulk left tackle for 3 yards (tackle by Brentson Buckner and Greg Favors),3.910,3.770
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CAR 22,0,3,Marc Bulger pass complete to Mike Furrey for 9 yards (tackle by Mike Minter),3.770,4.710
2,14:20,1,10,CAR 13,0,3,Marc Bulger pass incomplete intended for Isaac Bruce,4.710,4.050
2,14:16,2,10,CAR 13,0,3,Marshall Faulk right end for 5 yards (tackle by Ricky Manning),4.050,4.100
2,13:34,3,5,CAR 8,0,3,Marc Bulger pass incomplete intended for Isaac Bruce,4.100,2.970
2,13:30,4,5,CAR 8,0,6,Jeff Wilkins 26 yard field goal good,2.970,3.000
2,,,,STL 30,0,6,"Jeff Wilkins kicks off 66 yards, returned by Rod Smart for 28 yards (tackle by Bryce Fisher)",0.000,1.070
2,13:18,1,10,CAR 32,0,6,Stephen Davis left tackle for 64 yards (tackle by Aeneas Williams),1.070,6.280
2,12:46,1,4,STL 4,0,6,"Penalty on Jermaine Wiggins: False Start, 5 yards (no play)",6.280,5.140
2,12:19,1,9,STL 9,0,6,Jake Delhomme pass incomplete intended for Muhsin Muhammad,5.140,4.380
2,12:13,,,,0,6,Timeout #1 by Carolina Panthers,0.000,4.380
2,12:13,2,9,STL 9,0,6,"Penalty on Jordan Gross: False Start, 5 yards (no play)",4.380,3.580
2,12:13,2,14,STL 14,0,6,Nick Goings up the middle for 9 yards (tackle by Pisa Tinoisamoa),3.580,4.260
2,11:35,3,5,STL 5,6,6,"Jake Delhomme right tackle for -1 yards (tackle by Leonard Little). Jake Delhomme fumbles (forced by Leonard Little), recovered by Muhsin Muhammad at STL-0, touchdown",4.260,7.000
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
2,,,,STL 2,7,6,John Kasay kicks extra point good,0.000,0.000
2,,,,CAR 30,7,6,"John Kasay kicks off 69 yards, returned by Arlen Harris for 30 yards (tackle by Ricky Manning). Penalty on Mike Minter: Face Mask (15 Yards), 15 yards",0.000,1.990
2,11:15,1,10,STL 46,7,6,Marc Bulger pass complete to Cam Cleeland for 28 yards (tackle by Will Witherspoon),1.990,3.840
2,10:41,1,10,CAR 26,7,6,"Penalty on STL: Illegal Substitution, 5 yards (no play)",3.840,3.510
2,10:26,1,15,CAR 31,7,6,Marc Bulger pass incomplete intended for Cam Cleeland (defended by Julius Peppers),3.510,2.620
2,10:20,2,15,CAR 31,7,6,Marshall Faulk up the middle for 5 yards (tackle by Dan Morgan),2.620,2.610
2,9:39,3,10,CAR 26,7,6,Marc Bulger pass complete to Torry Holt for 13 yards (tackle by Reggie Howard),2.610,4.710
2,8:59,1,10,CAR 13,7,6,Marc Bulger pass complete to Isaac Bruce for 3 yards (tackle by Greg Favors),4.710,4.580
2,8:29,,,,7,6,Timeout #2 by St. Louis Rams,0.000,4.580
2,8:29,2,7,CAR 10,7,6,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Julius Peppers),4.580,3.880
2,7:48,3,6,CAR 9,7,6,Marc Bulger up the middle for 3 yards (tackle by Brentson Buckner),3.880,3.010
2,7:02,4,3,CAR 6,7,9,Jeff Wilkins 24 yard field goal good,3.010,3.000
2,,,,STL 30,7,9,"Jeff Wilkins kicks off 48 yards, returned by Brad Hoover for 19 yards (tackle by Kevin Garrett)",0.000,1.660
2,6:54,1,10,CAR 41,7,9,DeShaun Foster left end for -1 yards (tackle by Travis Fisher),1.660,0.990
2,6:17,2,11,CAR 40,7,9,DeShaun Foster left guard for 9 yards (tackle by Aeneas Williams and Travis Fisher),0.990,1.490
2,5:37,3,2,CAR 49,7,9,Jake Delhomme pass complete to Muhsin Muhammad for 24 yards (tackle by Jerametrius Butler),1.490,3.780
2,4:51,1,10,STL 27,7,9,DeShaun Foster up the middle for 7 yards (tackle by Damione Lewis),3.780,4.180
2,4:12,2,3,STL 20,7,9,"DeShaun Foster left end for 1 yard (tackle by Aeneas Williams). Penalty on Kevin Donnalley: Offensive Holding, 10 yards",4.180,2.960
2,3:43,2,12,STL 29,7,9,"Jake Delhomme pass incomplete intended for Jermaine Wiggins. Penalty on Tommy Polley: Defensive Holding, 5 yards (no play)",2.960,3.970
2,3:37,1,10,STL 24,7,9,"DeShaun Foster left end for 11 yards (tackle by Jason Sehorn). Penalty on Kevin Donnalley: Face Mask (15 Yards), 15 yards (no play)",3.970,2.980
2,3:01,1,25,STL 39,7,9,"Jake Delhomme pass complete to Rod Smart for 3 yards. Penalty on Kevin Donnalley: Offensive Holding, 10 yards (no play)",2.980,2.320
2,3:01,,,,7,9,Timeout #2 by Carolina Panthers,0.000,2.320
2,2:46,1,35,STL 49,7,9,Jake Delhomme pass complete to Muhsin Muhammad for 12 yards (tackle by Travis Fisher),2.320,1.680
2,2:19,2,23,STL 37,7,9,DeShaun Foster right guard for 3 yards (tackle by Pisa Tinoisamoa),1.680,1.420
2,2:00,3,20,STL 34,7,9,DeShaun Foster up the middle for 7 yards (tackle by Adam Archuleta),1.420,1.670
2,1:12,,,,7,9,Timeout #3 by Carolina Panthers,0.000,1.670
2,1:12,4,13,STL 27,10,9,John Kasay 45 yard field goal good,1.670,3.000
2,,,,CAR 30,10,9,"John Kasay kicks off 66 yards, returned by Arlen Harris for 27 yards (tackle by Nick Goings)",0.000,1.000
2,0:58,1,10,STL 31,10,9,Marc Bulger pass complete to Dane Looker for 7 yards (tackle by Reggie Howard),1.000,1.410
2,0:50,,,,10,9,Timeout #3 by St. Louis Rams,0.000,1.410
2,0:50,2,3,STL 38,10,9,Marc Bulger sacked by Julius Peppers for -10 yards,1.410,-0.630
2,0:11,3,13,STL 28,10,9,Marc Bulger pass complete to Mike Furrey for 3 yards (tackle by Julius Peppers),-0.630,-1.310
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,10,9,"John Kasay kicks off 61 yards, returned by Arlen Harris for 16 yards (tackle by Kemp Rasmussen)",0.000,0.610
3,14:55,1,10,STL 25,10,9,Marshall Faulk up the middle for 5 yards (tackle by Brentson Buckner),0.610,0.740
3,14:21,2,5,STL 30,10,9,Marshall Faulk left tackle for -1 yards (tackle by Will Witherspoon),0.740,-0.100
3,13:40,3,6,STL 29,10,9,Marc Bulger pass complete to Mike Furrey for 10 yards (tackle by Dante Wesley),-0.100,1.530
3,13:01,1,10,STL 39,10,9,Marc Bulger pass complete to Isaac Bruce for 24 yards (tackle by Deon Grant),1.530,3.120
3,12:19,1,10,CAR 37,10,9,Marc Bulger pass incomplete intended for Isaac Bruce,3.120,2.570
3,12:12,2,10,CAR 37,10,9,Marshall Faulk left end for 4 yards (tackle by Reggie Howard),2.570,2.410
3,11:33,3,6,CAR 33,10,9,Marc Bulger pass incomplete intended for Dane Looker,2.410,1.160
3,11:30,4,6,CAR 33,10,12,Jeff Wilkins 51 yard field goal good,1.160,3.000
3,,,,STL 30,10,12,"Jeff Wilkins kicks off 71 yards, returned by Rod Smart for 18 yards (tackle by Jeremy Loyd)",0.000,-0.060
3,11:20,1,10,CAR 17,10,12,Jake Delhomme pass complete to Brad Hoover for 11 yards (tackle by Robert W. Thomas),-0.060,0.810
3,10:40,1,10,CAR 28,10,12,Jake Delhomme pass complete to Steve Smith for 12 yards (tackle by Jerametrius Butler),0.810,1.600
3,10:03,1,10,CAR 40,10,12,DeShaun Foster up the middle for 17 yards (tackle by Travis Fisher),1.600,2.720
3,9:20,1,10,STL 43,10,12,DeShaun Foster right tackle for 7 yards (tackle by Aeneas Williams),2.720,3.120
3,8:35,2,3,STL 36,10,12,Jake Delhomme pass incomplete intended for Steve Smith,3.120,2.410
3,8:29,3,3,STL 36,10,12,Nick Goings right tackle for 2 yards (tackle by Tyoka Jackson),2.410,1.100
3,7:51,4,1,STL 34,13,12,John Kasay 52 yard field goal good,1.100,3.000
3,,,,CAR 30,13,12,"John Kasay kicks off 64 yards, returned by Arlen Harris for 33 yards (tackle by Vinny Ciurciu)",0.000,1.530
3,7:38,1,10,STL 39,13,12,Marc Bulger pass incomplete intended for Torry Holt,1.530,0.990
3,7:34,2,10,STL 39,13,12,"Penalty on Torry Holt: False Start, 5 yards (no play)",0.990,0.310
3,7:34,2,15,STL 34,13,12,Marc Bulger pass incomplete intended for Isaac Bruce,0.310,-0.360
3,7:27,3,15,STL 34,13,12,Marc Bulger pass incomplete intended for Torry Holt,-0.360,-1.110
3,7:20,4,15,STL 34,13,12,"Sean Landeta punts 46 yards, fair catch by Steve Smith",-1.110,-0.280
3,7:12,1,10,CAR 20,13,12,"Penalty on Todd Steussie: False Start, 5 yards (no play)",0.280,-0.310
3,7:12,1,15,CAR 15,13,12,DeShaun Foster left guard for 7 yards (tackle by Ryan Pickett),-0.310,0.000
3,6:34,2,8,CAR 22,13,12,DeShaun Foster right guard for 13 yards (tackle by Jason Sehorn),0.000,1.270
3,6:15,1,10,CAR 35,13,12,Nick Goings right tackle for 9 yards (tackle by Jason Sehorn),1.270,1.940
3,5:36,2,1,CAR 44,13,12,Nick Goings up the middle for 2 yards (tackle by Tommy Polley),1.940,1.990
3,4:57,1,10,CAR 46,13,12,Jake Delhomme pass incomplete intended for DeShaun Foster,1.990,1.450
3,4:52,2,10,CAR 46,13,12,Jake Delhomme pass complete to Steve Smith for 20 yards (tackle by Jason Sehorn),1.450,3.310
3,4:12,1,10,STL 34,13,12,DeShaun Foster right end for 1 yard (tackle by Jerametrius Butler and Bryce Fisher),3.310,2.910
3,3:30,2,9,STL 33,13,12,Jake Delhomme pass complete to DeShaun Foster for 8 yards (tackle by Tommy Polley),2.910,3.270
3,2:58,3,1,STL 25,13,12,Jake Delhomme up the middle for 2 yards (tackle by Aeneas Williams),3.270,4.040
3,2:14,1,10,STL 23,13,12,DeShaun Foster up the middle for 2 yards (tackle by Adam Archuleta),4.040,3.770
3,1:31,2,8,STL 21,13,12,Jake Delhomme pass incomplete intended for Kevin Dyson,3.770,3.070
3,1:26,3,8,STL 21,13,12,Jake Delhomme pass complete to Brad Hoover for 5 yards (tackle by Jerametrius Butler),3.070,2.480
3,0:50,4,3,STL 16,16,12,John Kasay 34 yard field goal good,2.480,3.000
3,,,,CAR 30,16,12,"John Kasay kicks off 66 yards, returned by Arlen Harris for 18 yards (tackle by Kemp Rasmussen)",0.000,0.410
3,0:37,1,10,STL 22,16,12,Marshall Faulk up the middle for 1 yard (tackle by Dan Morgan),0.410,0.000
3,0:06,2,9,STL 23,16,12,Marc Bulger pass incomplete intended for Isaac Bruce,0.000,-0.690
3,0:01,3,9,STL 23,16,12,"Marc Bulger pass incomplete intended for Torry Holt. Penalty on Terry Cousin: Defensive Holding, 5 yards (no play)",-0.690,0.810
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 28,16,12,Marc Bulger pass complete to Isaac Bruce for 13 yards (tackle by Mike Minter),0.810,1.660
4,14:20,1,10,STL 41,16,12,"Marc Bulger pass complete to Brandon Manumaleuna for 10 yards (tackle by Mike Minter). Penalty on Dave Wohlabaugh: Offensive Holding, 10 yards (no play)",1.660,1.000
4,13:52,1,20,STL 31,16,12,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Ricky Manning),1.000,-0.100
4,13:17,2,19,STL 32,16,12,Marc Bulger pass incomplete intended for Isaac Bruce is intercepted by Mike Minter at CAR-28 and returned for -1 yards (tackle by Isaac Bruce),-0.100,-0.740
4,13:08,1,10,CAR 27,16,12,DeShaun Foster left guard for no gain (tackle by Pisa Tinoisamoa),0.740,0.200
4,12:30,2,10,CAR 27,16,12,DeShaun Foster right end for 11 yards (tackle by Pisa Tinoisamoa),0.200,1.470
4,12:06,1,10,CAR 38,16,12,Jake Delhomme pass complete to Steve Smith for 36 yards (tackle by Jason Sehorn),1.470,3.840
4,11:20,1,10,STL 26,16,12,Steve Smith for 7 yards (tackle by Aeneas Williams),3.840,4.270
4,10:46,2,3,STL 19,16,12,DeShaun Foster right end for -11 yards (tackle by Travis Fisher),4.270,2.080
4,10:01,3,14,STL 30,16,12,DeShaun Foster up the middle for 15 yards (tackle by Tommy Polley),2.080,4.580
4,9:16,1,10,STL 15,16,12,"Nick Goings up the middle for no gain (tackle by Tyoka Jackson). Penalty on Travis Fisher: Face Mask (15 Yards), 8 yards (no play)",4.580,5.600
4,8:57,1,7,STL 7,22,12,"Brad Hoover right guard for 7 yards, touchdown",5.600,7.000
4,,,,STL 2,23,12,John Kasay kicks extra point good,0.000,0.000
4,,,,CAR 30,23,12,"John Kasay kicks off 70 yards, touchback",0.000,0.280
4,8:50,1,10,STL 20,23,12,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Deon Grant at STL-44 and returned for 16 yards (tackle by Brandon Manumaleuna),0.280,-3.710
4,8:40,1,10,STL 28,23,12,DeShaun Foster right tackle for 3 yards (tackle by Jamie Duncan),3.710,3.570
4,7:56,2,7,STL 25,23,12,DeShaun Foster right end for 1 yard (tackle by Jerametrius Butler),3.570,3.010
4,7:12,3,6,STL 24,23,12,Jake Delhomme sacked by Tyoka Jackson for -11 yards,3.010,0.970
4,6:34,4,17,STL 35,23,12,John Kasay 53 yard field goal no good,0.970,-1.800
4,6:29,1,10,STL 43,23,12,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Dante Wesley),1.800,2.200
4,6:05,2,3,STL 50,23,12,Marc Bulger pass incomplete intended for Dane Looker,2.200,1.490
4,5:57,3,3,STL 50,23,12,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Terry Cousin),1.490,2.520
4,5:20,1,10,CAR 46,23,12,Marc Bulger pass incomplete intended for Isaac Bruce,2.520,1.980
4,5:13,2,10,CAR 46,23,12,Marc Bulger pass incomplete intended for Isaac Bruce,1.980,1.290
,,,,,,,"CAR challenged the ruling, and the original play was overturned.",,
4,5:05,3,10,CAR 46,23,12,Marc Bulger pass complete to Mike Furrey for 8 yards (tackle by Ricky Manning),1.290,0.720
4,4:54,,,,23,12,Timeout #1 by St. Louis Rams,0.000,0.720
4,4:54,4,2,CAR 38,23,12,Marc Bulger pass complete to Marshall Faulk for 22 yards (tackle by Will Witherspoon),0.720,4.510
4,4:47,1,10,CAR 16,23,12,Marc Bulger pass incomplete intended for Isaac Bruce,4.510,3.900
4,4:44,2,10,CAR 16,23,12,Marc Bulger pass incomplete intended for Torry Holt (defended by Brentson Buckner),3.900,3.080
4,4:40,3,10,CAR 16,23,12,Marc Bulger pass complete to Marshall Faulk for 11 yards (tackle by Reggie Howard),3.080,6.060
4,4:03,1,5,CAR 5,23,12,Marshall Faulk left end for 2 yards (tackle by Mike Minter),6.060,5.530
4,4:03,2,3,CAR 3,23,12,Marc Bulger up the middle for no gain (tackle by Brentson Buckner),5.530,4.720
4,3:16,,,,23,12,Timeout #2 by St. Louis Rams,0.000,4.720
4,3:16,3,3,CAR 3,23,12,"Marc Bulger pass incomplete intended for Brandon Manumaleuna. Penalty on Terry Cousin: Defensive Pass Interference, 2 yards (no play)",4.720,6.970
4,3:11,1,1,CAR 1,23,12,Marshall Faulk right end for no gain (tackle by Brian L. Allen),6.970,5.910
4,2:45,2,1,CAR 1,23,12,Marc Bulger pass incomplete intended for Cam Cleeland (defended by Deon Grant),5.910,5.170
4,2:44,3,1,CAR 1,23,18,"Marshall Faulk right tackle for 1 yard, touchdown",5.170,7.000
4,,,,,23,20,"Two Point Attempt: Marc Bulger pass complete to Dane Looker, conversion succeeds",1.000,1.000
4,,,,STL 30,23,20,"Jeff Wilkins kicks onside 12 yards, recovered by Jeff Wilkins (onside kick successful)",0.000,1.730
4,2:38,1,10,STL 42,23,20,Marc Bulger pass complete to Isaac Bruce for 20 yards (tackle by Deon Grant),1.730,3.050
4,2:00,1,10,CAR 38,23,20,Marc Bulger pass complete to Isaac Bruce for 13 yards (tackle by Ricky Manning),3.050,3.910
4,1:24,1,10,CAR 25,23,20,Marc Bulger pass complete to Marshall Faulk for 6 yards (tackle by Terry Cousin),3.910,4.200
4,0:42,2,4,CAR 19,23,20,Marshall Faulk right end for 4 yards (tackle by Deon Grant),4.200,4.580
4,0:03,,,,23,20,Timeout #3 by St. Louis Rams,0.000,0.000
4,0:03,,,,23,20,Timeout #2 by Carolina Panthers,0.000,4.580
4,0:03,1,10,CAR 15,23,23,Jeff Wilkins 33 yard field goal good,4.580,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
,,,,,,,"Panthers won the coin toss, Panthers to receive the overtime kickoff.",,
OT,15:00,1,10,STL 30,23,23,"Jeff Wilkins kicks off 58 yards, returned by Rod Smart for 20 yards (tackle by Jeremy Loyd)",0.940,1.070
OT,14:53,1,10,CAR 32,23,23,Jake Delhomme pass incomplete intended for Brad Hoover,1.070,0.530
OT,14:49,2,10,CAR 32,23,23,Jake Delhomme pass incomplete intended for Muhsin Muhammad (defended by Aeneas Williams),0.530,-0.160
OT,14:45,3,10,CAR 32,23,23,Jake Delhomme pass complete to Nick Goings for 12 yards (tackle by Tommy Polley),-0.160,1.860
OT,14:08,1,10,CAR 44,23,23,Brad Hoover up the middle for 2 yards (tackle by Grant Wistrom),1.860,1.590
OT,13:27,2,8,CAR 46,23,23,DeShaun Foster right end for no gain (tackle by Tommy Polley),1.590,0.890
OT,12:57,3,8,CAR 46,23,23,Jake Delhomme pass complete to Muhsin Muhammad for 12 yards (tackle by Brian Young),0.890,2.790
OT,12:13,1,10,STL 42,23,23,Jake Delhomme pass complete to Jermaine Wiggins for 21 yards (tackle by Travis Fisher),2.790,4.170
OT,11:30,1,10,STL 42,23,23,Timeout #1 by Carolina Panthers,2.790,4.170
OT,11:30,1,10,STL 21,23,23,Jake Delhomme right tackle for -1 yards (tackle by Tommy Polley),4.170,3.490
OT,10:57,2,11,STL 22,23,23,"Penalty on John Kasay: Delay of Game, 5 yards (no play)",3.490,2.820
OT,10:57,2,11,STL 22,23,23,Timeout #1 by St. Louis Rams,3.490,2.820
OT,10:57,2,16,STL 27,23,23,Nick Goings right guard for 1 yard (tackle by Brian Young),2.820,2.280
OT,10:18,3,15,STL 26,23,23,Nick Goings up the middle for -1 yards (tackle by Grant Wistrom),2.280,1.670
OT,9:42,3,15,STL 26,23,23,Timeout #2 by St. Louis Rams,2.280,1.670
OT,9:42,4,16,STL 27,23,23,John Kasay 45 yard field goal no good,1.670,-1.270
OT,9:38,1,10,STL 35,23,23,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Greg Favors),1.270,0.860
OT,9:03,2,9,STL 36,23,23,Marc Bulger pass complete to Isaac Bruce for 26 yards (tackle by Deon Grant),0.860,3.050
OT,8:13,2,9,STL 36,23,23,Timeout #3 by St. Louis Rams,0.860,3.050
OT,8:13,1,10,CAR 38,23,23,Marshall Faulk up the middle for 2 yards (tackle by Mike Rucker),3.050,2.780
OT,7:40,2,8,CAR 36,23,23,Marshall Faulk left tackle for 1 yard (tackle by Dan Morgan),2.780,2.210
OT,6:59,3,7,CAR 35,23,23,Marc Bulger pass incomplete intended for Mike Furrey (defended by Julius Peppers),2.210,0.970
OT,6:52,3,7,CAR 35,23,23,Timeout #2 by Carolina Panthers,2.210,0.970
OT,6:52,4,7,CAR 35,23,23,Jeff Wilkins 53 yard field goal no good,0.970,-1.800
OT,6:47,1,10,CAR 43,23,23,Jake Delhomme pass complete to Muhsin Muhammad for 22 yards (tackle by Travis Fisher),1.800,3.250
OT,6:07,1,10,STL 35,23,23,Jake Delhomme up the middle for -6 yards (tackle by Ryan Pickett),3.250,1.890
OT,5:35,2,16,STL 41,23,23,"Penalty on Todd Steussie: False Start, 5 yards (no play)",1.890,1.220
OT,5:17,2,21,STL 46,23,23,Jake Delhomme pass incomplete intended for Steve Smith (defended by Ryan Pickett),1.220,0.560
OT,5:11,3,21,STL 46,23,23,Jake Delhomme sacked by Brian Young for -7 yards,0.560,-0.260
OT,4:36,4,28,CAR 47,23,23,"Todd Sauerbrun punts 40 yards, fair catch by Mike Furrey",-0.260,0.320
OT,4:29,1,10,STL 13,23,23,Marshall Faulk right tackle for 4 yards (tackle by Greg Favors),-0.320,-0.300
OT,3:48,2,6,STL 17,23,23,Marc Bulger up the middle for 7 yards (tackle by Reggie Howard),-0.300,0.540
OT,3:07,1,10,STL 24,23,23,Marc Bulger sacked by Greg Favors for -6 yards,0.540,-0.910
OT,2:42,2,16,STL 18,23,23,Marc Bulger pass complete to Brandon Manumaleuna for 19 yards (tackle by Mike Minter),-0.910,1.400
OT,2:00,1,10,STL 37,23,23,Marc Bulger pass complete to Marshall Faulk for 25 yards (tackle by Mike Minter),1.400,3.050
OT,1:12,1,10,CAR 38,23,23,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Ricky Manning at CAR-35,3.050,-1.270
OT,1:01,1,10,CAR 35,23,23,DeShaun Foster up the middle for -1 yards (tackle by Leonard Little),1.270,0.590
OT,0:21,2,11,CAR 34,23,23,Jake Delhomme sacked by Brian Young for -3 yards,0.590,-0.490
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
OT,15:00,3,14,CAR 31,29,23,"Jake Delhomme pass complete to Steve Smith for 69 yards, touchdown",-0.490,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
