Unnamed: 0,CAR,STL
First Downs,24,23
Rush-Yds-TDs,41-216-1,23-64-1
Cmp-Att-Yd-TD-INT,16-27-290-1-1,27-46-332-0-3
Sacked-Yards,3-21,2-16
Net Pass Yards,269,316
Total Yards,485,380
Fumbles-Lost,1-0,0-0
Turnovers,1,3
Penalties-Yards,13-92,5-33
Third Down Conv.,9-17,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,41:06,34:04
