Quarter,Time,Tm,Detail,DEN,SDG
1.0,4:51,Chargers,Nate Kaeding 20 yard field goal,0,3
,4:39,Broncos,Eddie Royal 93 yard kickoff return (Matt Prater kick),7,3
,0:06,Chargers,Vincent Jackson 3 yard pass from Philip Rivers (Nate Kaeding kick),7,10
2.0,7:55,Broncos,Matt Prater 34 yard field goal,10,10
,5:53,Broncos,Eddie Royal 71 yard punt return (Matt Prater kick),17,10
,2:19,Chargers,Nate Kaeding 44 yard field goal,17,13
,1:03,Chargers,Darren Sproles 77 yard punt return (Nate Kaeding kick),17,20
3.0,7:57,Chargers,Nate Kaeding 50 yard field goal,17,23
,3:43,Broncos,Tony Scheffler 19 yard pass from Kyle Orton (Matt Prater kick),24,23
4.0,13:05,Broncos,Matt Prater 29 yard field goal,27,23
,2:55,Broncos,Brandon Stokley 5 yard pass from Kyle Orton (Matt Prater kick),34,23
