Unnamed: 0,DEN,SDG
First Downs,19,20
Rush-Yds-TDs,33-101-0,21-73-0
Cmp-Att-Yd-TD-INT,20-29-229-2-0,20-33-274-1-0
Sacked-Yards,1-2,5-36
Net Pass Yards,227,238
Total Yards,328,311
Fumbles-Lost,1-0,4-1
Turnovers,0,1
Penalties-Yards,4-48,4-44
Third Down Conv.,9-16,2-11
Fourth Down Conv.,0-0,0-1
Time of Possession,30:43,29:17
