Quarter,Time,Tm,Detail,CIN,BAL
1.0,12:01,Ravens,Jamal Lewis 2 yard rush (Matt Stover kick),0,7
,10:28,Ravens,Ed Reed 25 yard interception return (Matt Stover kick),0,14
2.0,5:39,Ravens,Matt Stover 43 yard field goal,0,17
,1:06,Bengals,T.J. Houshmandzadeh 26 yard pass from Carson Palmer (Shayne Graham kick),7,17
3.0,8:55,Ravens,Matt Stover 25 yard field goal,7,20
,4:27,Ravens,Matt Stover 36 yard field goal,7,23
,2:19,Bengals,Shayne Graham 51 yard field goal,10,23
4.0,13:31,Bengals,Rudi Johnson 4 yard rush (Shayne Graham kick),17,23
,8:25,Ravens,Matt Stover 35 yard field goal,17,26
,4:01,Bengals,Shayne Graham 31 yard field goal,20,26
