Unnamed: 0,CIN,BAL
First Downs,16,21
Rush-Yds-TDs,22-93-1,38-129-1
Cmp-Att-Yd-TD-INT,12-26-194-1-2,21-31-245-0-0
Sacked-Yards,2-12,0-0
Net Pass Yards,182,245
Total Yards,275,374
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,4-40,8-81
Third Down Conv.,1-10,6-15
Fourth Down Conv.,1-2,0-1
Time of Possession,22:36,37:24
