Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"John Hall kicks off 64 yards, returned by Tamarick Vanover for 25 yards (tackle by Kelvin Moses)",0.000,1.000
1,14:53,1,10,SDG 31,0,0,Drew Brees pass incomplete intended for Tim Dwight,1.000,0.460
1,14:49,2,10,SDG 31,0,0,Drew Brees pass complete to Curtis Conway for 4 yards (tackle by Sam Garnes),0.460,0.300
1,14:12,3,6,SDG 35,0,0,Drew Brees pass incomplete intended for Stephen Alexander,0.300,-1.040
1,14:07,4,6,SDG 35,0,0,"Darren Bennett punts 40 yards, returned by Santana Moss for no gain",-1.040,-0.610
1,13:55,1,10,NYJ 25,0,0,Chad Pennington pass incomplete intended for Anthony Becht,0.610,0.060
1,13:50,2,10,NYJ 25,0,0,Curtis Martin right tackle for no gain (tackle by Junior Seau),0.060,-0.620
1,13:10,3,10,NYJ 25,0,0,Chad Pennington pass complete to Richie Anderson for 6 yards (tackle by Adrian Dingle),-0.620,-1.310
1,12:38,4,4,NYJ 31,0,0,"Matt Turk punts 38 yards, out of bounds",-1.310,-1.000
1,12:29,1,10,SDG 31,0,0,LaDainian Tomlinson middle for -1 yards (tackle by Mo Lewis),1.000,0.320
1,11:57,2,11,SDG 30,0,0,Drew Brees pass complete to Stephen Alexander for 19 yards (tackle by Damien Robinson),0.320,2.190
1,11:19,1,10,SDG 49,0,0,LaDainian Tomlinson left tackle for -1 yards (tackle by Shaun Ellis and Josh Evans),2.190,1.510
1,10:39,2,11,SDG 48,0,0,Drew Brees pass incomplete intended for Curtis Conway,1.510,0.830
1,10:31,3,11,SDG 48,0,0,Drew Brees pass incomplete intended for Tim Dwight,0.830,-0.190
1,10:26,4,11,SDG 48,0,0,"Darren Bennett punts 43 yards, fair catch by Santana Moss",-0.190,0.380
1,10:18,1,10,NYJ 9,0,0,Curtis Martin for no gain (tackle by Ben Leber),-0.380,-0.780
1,9:44,2,10,NYJ 9,0,0,Chad Pennington pass complete to Curtis Martin for 8 yards (tackle by Donnie Edwards),-0.780,-0.480
1,9:03,3,2,NYJ 17,0,0,Chad Pennington pass complete to Anthony Becht for 6 yards (tackle by Donnie Edwards),-0.480,0.480
1,8:24,1,10,NYJ 23,0,0,Curtis Martin middle for 6 yards (tackle by Jamal Williams),0.480,0.740
1,7:47,2,4,NYJ 29,0,0,Chad Pennington pass complete to Laveranues Coles for 20 yards (tackle by Ryan McNeil),0.740,2.190
1,7:05,1,10,NYJ 49,0,0,Santana Moss left end for no gain (tackle by Jamal Williams),2.190,1.650
1,6:22,2,10,NYJ 49,0,0,Chad Pennington pass complete to Wayne Chrebet for 18 yards (tackle by Alex Molden),1.650,3.380
1,5:47,1,10,SDG 33,0,0,LaMont Jordan middle for 4 yards (tackle by Donnie Edwards),3.380,3.380
1,5:09,2,6,SDG 29,0,0,LaMont Jordan for 11 yards (tackle by Ryan McNeil),3.380,4.370
1,4:37,1,10,SDG 18,0,0,Chad Pennington pass complete to Richie Anderson for 10 yards (tackle by Donnie Edwards),4.370,5.370
1,4:12,1,8,SDG 8,0,0,Curtis Martin left tackle for no gain (tackle by Raylee Johnson),5.370,4.570
1,3:28,2,8,SDG 8,6,0,"Chad Pennington middle for 8 yards, touchdown",4.570,7.000
1,3:28,,,SDG 8,7,0,John Hall kicks extra point good,0.000,0.000
1,3:28,,,NYJ 30,7,0,"John Hall kicks off 65 yards, returned by Tamarick Vanover for 16 yards (tackle by Jerald Sowell)",0.000,0.340
1,3:17,1,10,SDG 21,7,0,LaDainian Tomlinson right end for 15 yards (tackle by Damien Robinson),0.340,1.330
1,2:43,1,10,SDG 36,7,0,LaDainian Tomlinson middle for 4 yards (tackle by Mo Lewis),1.330,1.330
1,2:12,2,6,SDG 40,7,0,Curtis Conway for -2 yards (tackle by Sam Garnes),1.330,0.370
1,1:48,2,6,SDG 40,,,Timeout #1 by Los Angeles Chargers,1.330,0.370
1,1:48,3,8,SDG 38,7,0,Drew Brees sacked by Ray Mickens for -12 yards,0.370,-1.630
1,1:12,4,20,SDG 26,7,0,"Darren Bennett punts 50 yards, returned by Santana Moss for 11 yards (tackle by David Binn). Penalty on Carlos Polk: Illegal Use of Hands, 10 yards (no play)",-1.630,-2.390
1,1:01,4,30,SDG 16,13,0,"Darren Bennett punts 36 yards, returned by Santana Moss for 52 yards, touchdown. Penalty on Carlos Polk: Ineligible Downfield Kick (Declined)",-2.390,-7.000
1,0:43,,,SDG 16,14,0,John Hall kicks extra point good,0.000,0.000
1,0:43,,,NYJ 30,14,0,"John Hall kicks off 65 yards, returned by Tamarick Vanover for 21 yards (tackle by Khary Campbell)",0.000,0.670
1,0:37,1,10,SDG 26,14,0,"LaDainian Tomlinson for no gain (tackle by Donnie Abraham). Penalty on Toniu Fonoti: Offensive Holding, 10 yards (no play)",0.670,-0.300
1,0:13,1,20,SDG 16,14,0,Drew Brees pass complete to Curtis Conway for 11 yards (tackle by Sam Cowart),-0.300,0.270
Quarter,Time,Down,ToGo,Location,NYJ,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SDG 27,14,0,Drew Brees pass complete to Curtis Conway for 6 yards (tackle by Marvin Jones and Sam Cowart),0.270,0.370
2,14:47,3,3,SDG 33,14,0,"Penalty on Reche Caldwell: False Start, 5 yards (no play)",0.370,-0.300
2,14:17,3,8,SDG 28,14,0,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",-0.300,-0.960
2,13:57,3,13,SDG 23,14,0,Drew Brees pass complete to LaDainian Tomlinson for 10 yards (tackle by Jon McGraw),-0.960,-1.180
2,13:46,4,3,SDG 33,14,0,"Darren Bennett punts 41 yards, returned by Santana Moss for 29 yards (tackle by Darren Bennett). Penalty on Zeke Moreno: Ineligible Downfield Kick (Declined)",-1.180,-2.590
2,13:34,1,10,SDG 45,14,0,Curtis Martin left tackle for -1 yards (tackle by Jamal Williams and Donnie Edwards),2.590,1.910
2,12:57,2,11,SDG 46,14,0,Chad Pennington sacked by Raylee Johnson for 0 yards,1.910,1.220
2,12:25,3,11,SDG 46,14,0,Chad Pennington pass incomplete intended for Richie Anderson,1.220,0.200
2,12:19,4,11,SDG 46,14,0,"Matt Turk punts 46 yards, touchback",0.200,-0.280
2,12:09,1,10,SDG 20,14,0,LaDainian Tomlinson right tackle for 7 yards (tackle by Jason Ferguson),0.280,0.680
2,11:35,2,3,SDG 27,14,0,"LaDainian Tomlinson left end for no gain (tackle by John Abraham). Penalty on Stephen Alexander: Offensive Holding, 10 yards (no play)",0.680,-0.790
2,11:11,2,13,SDG 17,14,0,"Drew Brees sacked by Shaun Ellis for -17 yards. Drew Brees fumbles (forced by Shaun Ellis), recovered by Drew Brees at SDG-7",-0.790,-2.940
2,10:38,3,23,SDG 7,14,0,LaDainian Tomlinson middle for 12 yards (tackle by Damien Robinson),-2.940,-2.140
2,10:01,4,11,SDG 19,14,0,"Darren Bennett punts 46 yards, returned by Santana Moss for 17 yards (tackle by Justin Peelle)",-2.140,-2.390
2,9:53,1,10,SDG 48,14,0,Chad Pennington pass complete to Richie Anderson for 5 yards (tackle by Alex Molden),2.390,2.520
2,9:12,2,5,SDG 43,14,0,Chad Pennington pass complete to Anthony Becht for 8 yards (tackle by Donnie Edwards),2.520,3.250
2,8:36,1,10,SDG 35,14,0,Chad Pennington middle for 14 yards (tackle by Ben Leber),3.250,4.170
2,7:49,1,10,SDG 21,14,0,Chad Pennington pass complete to Curtis Martin for 11 yards (tackle by Ryan McNeil),4.170,4.910
2,7:03,1,10,SDG 10,14,0,Chad Pennington pass complete to Wayne Chrebet for 9 yards (tackle by Ryan McNeil),4.910,5.910
2,6:17,1,10,SDG 10,,,Timeout #1 by New York Jets,4.910,5.910
2,6:17,2,1,SDG 1,20,0,"Chad Pennington pass complete to Anthony Becht for 1 yard, touchdown",5.910,7.000
2,6:17,,,SDG 1,21,0,John Hall kicks extra point good,0.000,0.000
2,6:17,,,NYJ 30,21,0,"John Hall kicks off 62 yards, returned by Reche Caldwell for 25 yards (tackle by Sam Garnes)",0.000,1.140
