Unnamed: 0,NYJ,SDG
First Downs,21,15
Rush-Yds-TDs,30-165-3,14-73-1
Cmp-Att-Yd-TD-INT,28-37-253-1-0,22-35-192-1-2
Sacked-Yards,2-5,2-22
Net Pass Yards,248,170
Total Yards,413,243
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,6-65,8-55
Third Down Conv.,7-15,1-9
Fourth Down Conv.,0-0,0-1
Time of Possession,37:06,22:54
