Unnamed: 0,PHI,WAS
First Downs,19,16
Rush-Yds-TDs,24-58-0,17-64-0
Cmp-Att-Yd-TD-INT,26-39-307-2-1,23-40-240-1-1
Sacked-Yards,2-9,4-40
Net Pass Yards,298,200
Total Yards,356,264
Fumbles-Lost,1-1,3-3
Turnovers,2,4
Penalties-Yards,8-76,2-15
Third Down Conv.,8-14,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,34:16,25:44
