Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
1,1:54,1,10,LAC 22,14,7,Austin Ekeler right end for 2 yards (tackle by Lavonte David),0.410,0.140
1,1:21,2,8,LAC 24,14,7,Justin Herbert pass incomplete short middle intended for Hunter Henry (defended by Lavonte David),0.140,-0.560
1,1:17,3,8,LAC 24,14,7,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.560,-1.770
1,1:11,4,8,LAC 24,14,7,"Ty Long punts 40 yards, returned by Jaydon Mickens for 1 yard (tackle by Tevaughn Campbell)",-1.770,-1.400
1,1:00,1,10,TAM 37,14,7,Ronald Jones left tackle for no gain (tackle by Kenneth Murray and Denzel Perryman),1.400,0.860
1,0:28,2,10,TAM 37,14,7,Tom Brady pass incomplete short right intended for O.J. Howard (defended by Denzel Perryman),0.860,0.170
1,0:22,3,10,TAM 37,14,7,Tom Brady pass incomplete short right intended for O.J. Howard,0.170,-0.910
1,0:17,4,10,TAM 37,14,7,"Bradley Pinion punts 58 yards out of bounds. Penalty on Gabe Nabers: Offensive Holding, 2 yards",-0.910,0.380
1,0:05,1,10,LAC 3,14,7,Gabe Nabers up the middle for 4 yards (tackle by William Gholston),-0.380,-0.490
Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAC 7,14,7,"Penalty on Trey Pipkins: False Start, 3 yards (no play)",-0.490,-0.710
2,15:00,2,9,LAC 4,14,7,Justin Herbert pass complete short right to Gabe Nabers for 5 yards (tackle by Carlton Davis),-0.710,-0.720
2,14:27,3,4,LAC 9,14,7,"Justin Herbert right end for 5 yards (tackle by Jordan Whitehead). Penalty on Jordan Whitehead: Unnecessary Roughness, 15 yards",-0.720,0.870
2,13:55,1,10,LAC 29,14,7,Justin Jackson left end for no gain (tackle by Carlton Davis and Jason Pierre-Paul),0.870,0.330
2,13:20,2,10,LAC 29,14,7,Justin Herbert pass complete short right to Justin Jackson for 9 yards (tackle by Shaquil Barrett),0.330,0.830
2,12:44,3,1,LAC 38,14,7,Joshua Kelley up the middle for 3 yards (tackle by William Gholston and Shaquil Barrett),0.830,1.660
2,12:01,1,10,LAC 41,14,7,Justin Herbert pass complete short left to Joshua Kelley for 1 yard (tackle by Lavonte David),1.660,1.260
2,11:26,2,9,LAC 42,14,7,Joshua Kelley left tackle for 1 yard (tackle by Lavonte David),1.260,0.700
2,10:44,3,8,LAC 43,14,7,"Justin Herbert pass incomplete deep left intended for Keenan Allen. Penalty on Carlton Davis: Defensive Pass Interference, 20 yards (no play)",0.700,3.120
2,10:38,1,10,TAM 37,14,7,Justin Herbert pass incomplete deep left intended for Hunter Henry,3.120,2.570
2,10:31,2,10,TAM 37,14,7,Justin Jackson left guard for -1 yards (tackle by Anthony Nelson),2.570,1.750
2,9:59,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,9:58,3,11,TAM 38,14,7,Justin Herbert pass complete short left to Joshua Kelley for 17 yards (tackle by Jordan Whitehead),1.750,4.170
2,9:27,1,10,TAM 21,14,7,Justin Herbert left end for 2 yards (tackle by Jamel Dean),4.170,3.900
2,8:56,2,8,TAM 19,20,7,"Justin Herbert pass complete deep left to Donald Parham for 19 yards, touchdown",3.900,7.000
2,8:50,,,TAM 15,21,7,Michael Badgley kicks extra point good,0.000,0.000
2,8:50,,,LAC 35,21,7,"Ty Long kicks off 60 yards, returned by Jaydon Mickens for 24 yards (tackle by Gabe Nabers)",0.000,0.870
2,8:42,1,10,TAM 29,21,7,Tom Brady pass complete short middle to Justin Watson for 5 yards (tackle by Kenneth Murray),0.870,1.000
2,8:12,2,5,TAM 34,21,7,Tom Brady pass complete short left to Ronald Jones for 1 yard (tackle by Desmond King),1.000,0.430
2,7:32,3,4,TAM 35,21,7,Tom Brady pass complete short left to O.J. Howard for 5 yards (tackle by Kyzir White),0.430,1.600
2,7:09,1,10,TAM 40,21,7,Ronald Jones right guard for 7 yards (tackle by Desmond King and Kenneth Murray),1.600,2.000
2,6:36,2,3,TAM 47,21,7,Ronald Jones right tackle for 23 yards (tackle by Nasir Adderley),2.000,3.580
2,5:53,1,10,LAC 30,21,7,Ronald Jones right guard for 4 yards (tackle by Casey Hayward),3.580,3.570
2,5:10,2,6,LAC 26,21,7,Tom Brady pass incomplete short right intended for Ronald Jones,3.570,2.870
2,5:05,3,6,LAC 26,21,7,Tom Brady pass incomplete deep right intended for Scott Miller,2.870,1.760
2,4:59,4,6,LAC 26,21,7,Ryan Succop 44 yard field goal no good,1.760,-1.200
2,4:54,1,10,LAC 34,21,7,Justin Herbert right tackle for 4 yards (tackle by Shaquil Barrett),1.200,1.200
2,4:14,2,6,LAC 38,21,7,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by William Gholston),1.200,1.930
2,3:37,1,10,LAC 45,21,7,Justin Jackson up the middle for 3 yards (tackle by Rakeem Nunez-Roches and Shaquil Barrett),1.930,1.790
2,3:00,2,7,LAC 48,21,7,Justin Herbert pass complete deep left to Keenan Allen for 17 yards (tackle by Antoine Winfield),1.790,3.250
2,2:22,1,10,TAM 35,21,7,Joshua Kelley left guard for -1 yards (tackle by Lavonte David),3.250,2.570
2,2:00,2,11,TAM 36,21,7,"Justin Herbert pass incomplete short left intended for Keenan Allen. Penalty on Sam Tevi: Illegal Block Above the Waist, 10 yards (no play)",2.570,1.220
2,1:57,2,21,TAM 46,21,7,Justin Jackson left tackle for 3 yards (tackle by Lavonte David),1.220,0.960
2,1:49,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:49,3,18,TAM 43,21,7,Justin Herbert pass complete short middle to Keenan Allen for 8 yards (tackle by Sean Murphy-Bunting and Devin White),0.960,0.970
2,1:41,4,10,TAM 35,24,7,Michael Badgley 53 yard field goal good. Penalty on Devin White: Illegal Formation (Declined),0.970,3.000
2,1:37,,,LAC 35,24,7,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,1:37,1,10,TAM 25,24,7,Tom Brady pass incomplete deep right intended for Scott Miller,0.610,0.060
2,1:31,2,10,TAM 25,24,7,Tom Brady pass complete short right to Justin Watson for 10 yards (tackle by Kenneth Murray),0.060,1.270
2,1:13,1,10,TAM 35,24,7,"Tom Brady pass incomplete short right intended for Kenjon Barner (defended by Kyzir White). Penalty on Kyzir White: Unnecessary Roughness, 15 yards",1.270,2.260
2,1:09,1,10,TAM 50,24,7,Tom Brady pass incomplete short middle intended for Ronald Jones,2.260,1.710
2,1:06,2,10,TAM 50,24,7,Tom Brady pass incomplete deep right intended for O.J. Howard,1.710,1.030
2,1:00,3,10,TAM 50,24,7,"Tom Brady pass incomplete short middle intended for Mike Evans (defended by Uchenna Nwosu). Penalty on Mike Evans: Unnecessary Roughness, 15 yards",1.030,-1.040
2,0:55,4,25,TAM 35,24,7,Bradley Pinion punts 56 yards out of bounds,-1.040,0.380
