Quarter,Time,Tm,Detail,LAC,TAM
1.0,10:00,Buccaneers,Cameron Brate 3 yard pass from Tom Brady (Ryan Succop kick),0,7
,8:14,Chargers,Tyron Johnson 53 yard pass from Justin Herbert (Michael Badgley kick),7,7
,3:55,Chargers,Michael Davis 78 yard interception return (Michael Badgley kick),14,7
2.0,8:50,Chargers,Donald Parham 19 yard pass from Justin Herbert (Michael Badgley kick),21,7
,1:37,Chargers,Michael Badgley 53 yard field goal,24,7
,0:22,Buccaneers,Mike Evans 6 yard pass from Tom Brady (Ryan Succop kick),24,14
3.0,8:22,Buccaneers,O.J. Howard 28 yard pass from Tom Brady (Ryan Succop kick),24,21
,0:52,Buccaneers,Scott Miller 19 yard pass from Tom Brady (Ryan Succop kick),24,28
,0:00,Chargers,Jalen Guyton 72 yard pass from Justin Herbert (Michael Badgley kick),31,28
4.0,11:05,Buccaneers,Ke'Shawn Vaughn 9 yard pass from Tom Brady (Ryan Succop kick),31,35
,2:40,Buccaneers,Ryan Succop 26 yard field goal,31,38
