Unnamed: 0,LAC,TAM
First Downs,15,28
Rush-Yds-TDs,23-46-0,27-115-0
Cmp-Att-Yd-TD-INT,20-25-290-3-1,30-46-369-5-1
Sacked-Yards,2-12,0-0
Net Pass Yards,278,369
Total Yards,324,484
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,7-60,8-90
Third Down Conv.,4-10,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,25:05,34:55
