Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joshua Kelley,LAC,9,7,0,2,3,0.3,4,0.4,0,
Justin Jackson,LAC,6,9,0,,4,0.7,5,0.8,0,
Justin Herbert,LAC,5,14,0,1,10,2.0,4,0.8,0,
Austin Ekeler,LAC,2,12,0,1,9,4.5,3,1.5,0,
Gabe Nabers,LAC,1,4,0,,1,1.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ronald Jones II,TAM,20,111,0,6,34,1.7,77,3.9,3,6.7
Tom Brady,TAM,3,-3,0,0,-3,-1.0,0,0.0,0,
Ke'Shawn Vaughn,TAM,3,4,0,0,1,0.3,3,1.0,0,
LeSean McCoy,TAM,1,3,0,,2,2.0,1,1.0,0,
