Quarter,Time,Tm,Detail,DAL,NYG
1.0,6:31,Cowboys,Ezekiel Elliott 13 yard rush (Greg Zuerlein kick failed),6,0
,0:37,Giants,Graham Gano 35 yard field goal,6,3
2.0,10:30,Cowboys,Greg Zuerlein 26 yard field goal,9,3
,1:39,Cowboys,Greg Zuerlein 42 yard field goal,12,3
,0:00,Cowboys,Greg Zuerlein 27 yard field goal,15,3
3.0,12:05,Giants,Graham Gano 42 yard field goal,15,6
,1:57,Cowboys,Dalton Schultz 1 yard pass from Dak Prescott (Greg Zuerlein kick failed),21,6
