Unnamed: 0,DAL,NYG
First Downs,23,15
Rush-Yds-TDs,30-125-1,24-124-0
Cmp-Att-Yd-TD-INT,28-37-217-1-0,19-36-181-0-3
Sacked-Yards,3-14,1-3
Net Pass Yards,203,178
Total Yards,328,302
Fumbles-Lost,3-1,1-1
Turnovers,1,4
Penalties-Yards,6-45,6-34
Third Down Conv.,8-14,6-14
Fourth Down Conv.,0-0,1-3
Time of Possession,33:23,26:37
