Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 70 yards, returned by Jacquizz Rodgers for 19 yards (tackle by Jermaine Kearse)",0.000,0.280
1,14:56,1,10,ATL 14,0,0,Steven Jackson right guard for 2 yards (tackle by Tony McDaniel),-0.280,-0.510
1,14:26,2,8,ATL 16,0,0,Steven Jackson right guard for 4 yards (tackle by Tony McDaniel and K.J. Wright),-0.510,-0.680
1,13:50,3,4,ATL 20,0,0,Matt Ryan pass incomplete short right intended for Steven Jackson (defended by Earl Thomas),-0.680,-2.030
1,13:45,4,4,ATL 20,0,0,"Matthew Bosher punts 59 yards, returned by Golden Tate for 10 yards (tackle by Antone Smith)",-2.030,-1.000
1,13:30,1,10,SEA 31,0,0,Russell Wilson pass complete short middle to Marshawn Lynch for 4 yards (tackle by Paul Worrilow and Akeem Dent),1.000,1.000
1,12:54,2,6,SEA 35,0,0,Marshawn Lynch right end for 4 yards (tackle by Paul Worrilow and Akeem Dent),1.000,0.830
1,12:10,3,2,SEA 39,0,0,Marshawn Lynch right end for 3 yards (tackle by Joplo Bartu and William Moore),0.830,1.730
1,11:30,1,10,SEA 42,0,0,Russell Wilson pass incomplete short left intended for Doug Baldwin (defended by Desmond Trufant),1.730,1.190
1,11:26,2,10,SEA 42,0,0,Robert Turbin for 6 yards (tackle by Desmond Trufant),1.190,1.290
1,10:50,3,4,SEA 48,0,0,Russell Wilson pass complete short left to Marshawn Lynch for 9 yards (tackle by Thomas DeCoud),1.290,2.720
1,10:16,1,10,ATL 43,0,0,Russell Wilson pass complete short right to Luke Willson for 19 yards (tackle by Asante Samuel),2.720,3.970
1,9:40,1,10,ATL 24,0,0,Russell Wilson pass complete short right to Robert Turbin for -5 yards (tackle by Jonathan Babineaux),3.970,2.760
1,8:53,2,15,ATL 29,0,0,Russell Wilson pass complete short right to Marshawn Lynch for 3 yards (tackle by Paul Worrilow and Asante Samuel),2.760,2.480
1,8:21,3,12,ATL 26,0,0,Marshawn Lynch right guard for 5 yards (tackle by Paul Worrilow and Jonathan Massaquoi),2.480,2.060
1,7:37,4,7,ATL 21,3,0,Steven Hauschka 39 yard field goal good,2.060,3.000
1,7:37,,,SEA 35,3,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,7:32,1,10,ATL 20,3,0,Matt Ryan pass complete deep middle to Roddy White for 20 yards (tackle by Earl Thomas),0.280,1.600
1,6:48,1,10,ATL 40,3,0,Steven Jackson left tackle for no gain (tackle by K.J. Wright),1.600,1.050
1,6:06,2,10,ATL 40,3,0,Matt Ryan pass incomplete short left intended for Jacquizz Rodgers,1.050,0.370
1,6:01,3,10,ATL 40,3,0,Matt Ryan pass incomplete short right intended for Roddy White (defended by Brandon Browner),0.370,-0.720
1,5:54,4,10,ATL 40,3,0,Matthew Bosher punts 53 yards,-0.720,0.380
1,5:42,1,10,SEA 7,3,0,Robert Turbin right tackle for 2 yards (tackle by Paul Worrilow),-0.380,-0.630
1,5:02,2,8,SEA 9,3,0,"Russell Wilson pass complete deep right to Golden Tate for 31 yards (tackle by William Moore). Penalty on William Moore: Unnecessary Roughness, 15 yards",-0.630,2.590
1,4:39,1,10,ATL 45,3,0,Russell Wilson pass complete short right to Doug Baldwin for 9 yards (tackle by Asante Samuel),2.590,3.260
1,4:03,2,1,ATL 36,3,0,Marshawn Lynch left end for 4 yards (tackle by Akeem Dent),3.260,3.450
1,3:20,1,10,ATL 32,3,0,Robert Turbin left tackle for 2 yards (tackle by Joplo Bartu and Jonathan Babineaux),3.450,3.170
1,2:41,2,8,ATL 30,3,0,Russell Wilson sacked by Joplo Bartu for -8 yards,3.170,3.170
1,2:02,2,8,ATL 30,3,0,Timeout #1 by Seattle Seahawks,3.170,1.420
1,2:02,3,16,ATL 38,3,0,Russell Wilson pass incomplete deep left intended for Ricardo Lockette,1.420,0.720
1,1:54,4,16,ATL 38,3,0,"Jon Ryan punts 28 yards, fair catch by Robert McClain",0.720,0.380
1,1:47,1,10,ATL 10,3,0,Steven Jackson right tackle for no gain (tackle by Michael Brooks),-0.380,-0.780
1,1:05,2,10,ATL 10,3,0,"Matt Ryan pass incomplete short middle intended for Tony Gonzalez. Penalty on Bruce Irvin: Defensive Offside, 5 yards (no play)",-0.780,-0.350
1,1:01,2,5,ATL 15,3,0,Steven Jackson right tackle for 2 yards (tackle by K.J. Wright and Kam Chancellor),-0.350,-0.600
1,0:27,3,3,ATL 17,3,0,Matt Ryan pass complete short middle to Steven Jackson for 2 yards (tackle by K.J. Wright),-0.600,-2.140
Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
