Unnamed: 0,SEA,ATL
First Downs,25,16
Rush-Yds-TDs,42-211-1,16-64-0
Cmp-Att-Yd-TD-INT,19-26-287-2-0,23-36-172-1-0
Sacked-Yards,1-8,2-10
Net Pass Yards,279,162
Total Yards,490,226
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,9-80,1-15
Third Down Conv.,9-15,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,35:30,24:30
