Unnamed: 0,NYG,SFO
First Downs,10,26
Rush-Yds-TDs,11-29-1,39-141-1
Cmp-Att-Yd-TD-INT,22-33-137-0-1,25-37-310-2-0
Sacked-Yards,2-16,2-10
Net Pass Yards,121,300
Total Yards,150,441
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-37,6-71
Third Down Conv.,3-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,20:50,39:10
