Quarter,Time,Down,ToGo,Location,IND,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,DeShaun Foster right tackle for 2 yards (tackle by Dwight Freeney),0.280,0.000
1,14:21,2,8,CAR 22,0,0,DeShaun Foster up the middle for -2 yards (tackle by Robert Mathis and Rocky Boiman),0.000,-0.960
1,13:39,3,10,CAR 20,0,0,"Vinny Testaverde pass complete short left to Steve Smith for 8 yards. Penalty on Tim Jennings: Defensive Holding, 5 yards (no play)",-0.960,0.610
1,13:09,1,10,CAR 25,0,0,Vinny Testaverde pass incomplete short left intended for Steve Smith,0.610,0.060
1,13:05,2,10,CAR 25,0,0,DeShaun Foster right tackle for 5 yards (tackle by Rocky Boiman),0.060,0.040
1,12:22,3,5,CAR 30,0,0,Vinny Testaverde pass complete short left to Steve Smith for 12 yards (tackle by Bob Sanders),0.040,1.730
1,11:39,1,10,CAR 42,0,0,Vinny Testaverde pass complete short left to Jeff King for 6 yards (tackle by Tyjuan Hagler),1.730,2.000
1,10:54,2,4,CAR 48,0,0,DeShaun Foster left guard for 3 yards (tackle by Tyjuan Hagler),2.000,1.690
1,10:10,3,1,IND 49,0,0,DeShaun Foster left tackle for 5 yards (tackle by Josh Thomas),1.690,2.650
1,9:27,1,10,IND 44,0,0,Vinny Testaverde pass incomplete short left intended for Jeff King,2.650,2.110
1,9:23,2,10,IND 44,0,0,Vinny Testaverde up the middle for 6 yards (tackle by Raheem Brock),2.110,2.210
1,8:43,3,4,IND 38,0,0,Vinny Testaverde pass complete short left to DeShaun Foster for 5 yards (tackle by Gary Brackett),2.210,3.380
1,8:13,1,10,IND 33,0,0,Vinny Testaverde pass complete short left to Keary Colbert for 15 yards (tackle by Bob Sanders),3.380,4.370
1,7:43,1,10,IND 18,0,0,DeAngelo Williams left guard for 4 yards (tackle by Robert Mathis),4.370,4.430
1,7:02,2,6,IND 14,0,0,Brad Hoover left guard for 2 yards (tackle by Dwight Freeney),4.430,4.030
