Quarter,Time,Tm,Detail,IND,CAR
1.0,3:59,Panthers,DeShaun Foster 3 yard rush (John Kasay kick),0,7
,0:47,Colts,Adam Vinatieri 20 yard field goal,3,7
2.0,1:33,Colts,Joseph Addai 2 yard rush (Adam Vinatieri kick),10,7
3.0,12:11,Colts,Joseph Addai 4 yard pass from Peyton Manning (Adam Vinatieri kick),17,7
,4:47,Colts,Reggie Wayne 59 yard pass from Peyton Manning (Adam Vinatieri kick),24,7
4.0,13:09,Colts,Joseph Addai 12 yard rush (Adam Vinatieri kick),31,7
