Quarter,Time,Tm,Detail,CLE,STL
1.0,11:37,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),0,7
,5:06,Rams,Torry Holt 1 yard pass from Marc Bulger (Jeff Wilkins kick),0,14
,2:38,Browns,Phil Dawson 35 yard field goal,3,14
2.0,8:22,Browns,Braylon Edwards 12 yard pass from Derek Anderson (Phil Dawson kick),10,14
,1:11,Browns,Kellen Winslow 21 yard pass from Derek Anderson (Phil Dawson kick),17,14
,0:03,Rams,Jeff Wilkins 40 yard field goal,17,17
3.0,8:44,Browns,Braylon Edwards 5 yard pass from Derek Anderson (Phil Dawson kick),24,17
,3:26,Rams,Jeff Wilkins 46 yard field goal,24,20
4.0,10:35,Browns,Phil Dawson 45 yard field goal,27,20
