Quarter,Time,Tm,Detail,PIT,ARI
1.0,9:39,Steelers,Heath Miller 12 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,0
2.0,8:09,Steelers,Mike Wallace 95 yard pass from Ben Roethlisberger (Shaun Suisham kick),14,0
,1:20,Cardinals,Alfonso Smith 1 yard rush (Jay Feely kick),14,7
,0:00,Steelers,Shaun Suisham 41 yard field goal,17,7
3.0,9:26,Cardinals,LaRod Stephens-Howling 73 yard pass from Kevin Kolb (Jay Feely kick),17,14
,3:54,Steelers,Emmanuel Sanders 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,14
,3:42,Steelers,"Safety, Kevin Kolb penalized for intentional grounding in the end zone.",26,14
4.0,11:30,Steelers,Shaun Suisham 42 yard field goal,29,14
,6:46,Steelers,Shaun Suisham 39 yard field goal,32,14
,3:53,Cardinals,Early Doucet 2 yard pass from Kevin Kolb (pass failed),32,20
