Unnamed: 0,PIT,ARI
First Downs,26,23
Rush-Yds-TDs,28-91-0,19-73-1
Cmp-Att-Yd-TD-INT,26-39-361-3-0,18-34-272-2-1
Sacked-Yards,2-7,2-15
Net Pass Yards,354,257
Total Yards,445,330
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,9-69,9-74
Third Down Conv.,6-12,3-8
Fourth Down Conv.,0-0,1-1
Time of Possession,35:47,24:13
