Unnamed: 0,SDG,DEN
First Downs,15,21
Rush-Yds-TDs,29-110-0,32-210-2
Cmp-Att-Yd-TD-INT,21-35-228-2-1,19-31-301-1-2
Sacked-Yards,3-21,2-8
Net Pass Yards,207,293
Total Yards,317,503
Fumbles-Lost,3-0,3-3
Turnovers,1,5
Penalties-Yards,7-45,6-35
Third Down Conv.,6-18,5-11
Fourth Down Conv.,0-2,0-0
Time of Possession,34:32,25:28
