Quarter,Time,Tm,Detail,CHI,TAM
1.0,8:58,Buccaneers,Nick Folk 42 yard field goal,0,3
,0:10,Buccaneers,Mike Evans 13 yard pass from Jameis Winston (Nick Folk kick),0,10
2.0,7:30,Buccaneers,Jacquizz Rodgers 1 yard rush (Nick Folk kick),0,17
,4:09,Buccaneers,Robert McClain 47 yard interception return (Nick Folk kick failed),0,23
,0:00,Buccaneers,Nick Folk 50 yard field goal,0,26
4.0,12:26,Buccaneers,Nick Folk 23 yard field goal,0,29
,1:43,Bears,Deonte Thompson 14 yard pass from Mike Glennon (Connor Barth kick),7,29
