Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
1,8:58,1,10,CHI 25,0,3,Jordan Howard middle for -3 yards (tackle by Gerald McCoy and William Gholston),0.610,0.000
1,8:17,,,,,,Timeout #1 by Chicago Bears,0.000,0.340
1,8:17,2,13,CHI 22,0,3,Mike Glennon pass complete short middle to Kendall Wright for 8 yards (tackle by Robert McClain),-0.340,0.040
1,7:37,3,5,CHI 30,0,3,Mike Glennon pass complete short middle to Tarik Cohen for 7 yards (tackle by Robert McClain),0.040,1.400
1,7:02,1,10,CHI 37,0,3,Tarik Cohen middle for 2 yards (tackle by Brent Grimes),1.400,1.130
1,6:27,2,8,CHI 39,0,3,Mike Glennon pass complete short middle to Josh Bellamy for 11 yards,1.130,2.260
1,5:48,1,10,,0,3,Jordan Howard middle for 3 yards (tackle by Lavonte David and William Gholston),2.260,2.120
1,5:14,2,7,TAM 47,0,3,Mike Glennon pass complete short middle to Kendall Wright for 7 yards,2.120,2.920
1,4:38,1,10,TAM 40,0,3,Jordan Howard middle for -3 yards (tackle by Lavonte David),2.920,1.970
1,3:57,2,13,TAM 43,0,3,Mike Glennon pass complete short left to Tarik Cohen for 9 yards (tackle by Kendell Beckwith),1.970,2.480
1,3:18,3,4,TAM 34,0,3,Mike Glennon pass complete short middle to Zach Miller for 12 yards (tackle by Chris Conte),2.480,4.110
1,2:42,1,10,TAM 22,0,3,Mike Glennon pass incomplete short right intended for Dion Sims is intercepted by Kwon Alexander at TAM-16 and returned for 22 yards,4.110,-1.470
1,2:32,1,10,TAM 38,0,3,Jacquizz Rodgers left tackle for 1 yard (tackle by Eddie Goldman and Danny Trevathan),1.470,1.060
1,1:55,2,9,TAM 39,0,3,Jameis Winston pass complete short right to DeSean Jackson for 8 yards (tackle by Marcus Cooper),1.060,1.420
1,1:10,3,1,TAM 47,0,3,Charles Sims for no gain (tackle by Eddie Jackson and Akiem Hicks),1.420,-0.260
1,0:28,4,1,TAM 47,0,3,"Bryan Anger punts 42 yards, returned by Tarik Cohen for no gain. Tarik Cohen fumbles (forced by Ryan Smith), recovered by Cameron Lynch at CHI-13",-0.260,4.710
1,0:15,1,10,CHI 13,0,9,"Jameis Winston pass complete short right to Mike Evans for 13 yards, touchdown. Penalty on Quintin Demps: Defensive Holding (Declined)",4.710,7.000
1,0:10,,,CHI 15,0,10,Nick Folk kicks extra point good,0.000,0.000
1,0:10,,,TAM 35,0,10,"Nick Folk kicks off 65 yards, touchback. Penalty on Tanner Gentry: Unnecessary Roughness, 12 yards",0.000,0.320
1,0:10,1,10,CHI 13,0,10,Tarik Cohen right tackle for 9 yards (tackle by Noah Spence),-0.320,0.490
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,CHI 22,0,10,Jordan Howard left tackle for 2 yards (tackle by Kwon Alexander),0.490,0.540
2,14:25,1,10,CHI 24,0,10,Jordan Howard right end for 4 yards (tackle by William Gholston and Lavonte David),0.540,0.540
2,13:51,2,6,CHI 28,0,10,"Mike Glennon pass incomplete short left intended for Jordan Howard (defended by Kwon Alexander). Penalty on Bobby Massie: Offensive Holding, 10 yards (no play)",0.540,-0.910
2,13:45,2,16,CHI 18,0,10,Mike Glennon pass complete short left to Kendall Wright for 12 yards (tackle by Kendell Beckwith),-0.910,0.100
2,13:00,3,4,CHI 30,0,10,Mike Glennon pass complete short left to Tarik Cohen for 14 yards (tackle by Chris Conte),0.100,1.860
2,12:25,1,10,CHI 44,0,10,Mike Glennon pass incomplete short middle intended for Jordan Howard,1.860,1.320
2,12:19,2,10,CHI 44,0,10,Tarik Cohen left end for 2 yards (tackle by Kendell Beckwith and Ryan Russell),1.320,0.890
2,11:37,3,8,CHI 46,0,10,"Mike Glennon sacked by Noah Spence for -11 yards. Mike Glennon fumbles (forced by Noah Spence), recovered by Lavonte David at CHI-35 (tackle by Charles Leno)",0.890,-3.250
2,11:26,1,10,CHI 35,0,10,Jameis Winston pass incomplete short left intended for DeSean Jackson,3.250,2.700
2,11:21,2,10,CHI 35,0,10,Jacquizz Rodgers left tackle for 4 yards (tackle by Eddie Jackson and Christian Jones),2.700,2.540
2,10:44,3,6,CHI 31,0,10,"Jameis Winston pass incomplete deep middle intended for DeSean Jackson. Penalty on Danny Trevathan: Defensive Holding, 5 yards (no play)",2.540,3.840
2,10:38,1,10,CHI 26,0,10,Jacquizz Rodgers right end for 9 yards (tackle by Eddie Jackson and Quintin Demps),3.840,4.640
2,9:58,2,1,CHI 17,0,10,Jacquizz Rodgers right tackle for no gain (tackle by Quintin Demps and Leonard Floyd),4.640,3.950
2,9:16,3,1,CHI 17,0,10,Jacquizz Rodgers left guard for 8 yards (tackle by Quintin Demps and Christian Jones),3.950,5.140
2,8:46,1,9,CHI 9,0,10,Jacquizz Rodgers middle for 3 yards (tackle by Akiem Hicks),5.140,4.950
2,8:07,2,6,CHI 6,0,10,Jameis Winston pass incomplete short middle intended for Mike Evans,4.950,4.040
2,8:01,3,6,CHI 6,0,10,"Jameis Winston middle for 3 yards (tackle by Danny Trevathan). Penalty on Willie Young: Defensive Holding, 2 yards",4.040,6.970
2,7:35,1,1,CHI 1,0,16,"Jacquizz Rodgers middle for 1 yard, touchdown",6.970,7.000
2,7:30,,,CHI 15,0,17,Nick Folk kicks extra point good,0.000,0.000
2,7:30,,,TAM 35,0,17,"Nick Folk kicks off 61 yards, returned by Deonte Thompson for 22 yards (tackle by Keith Tandy)",0.000,-0.670
2,7:23,1,10,CHI 26,0,17,Jordan Howard left tackle for 2 yards (tackle by Adarius Glanton and William Gholston),0.670,0.400
2,6:47,2,8,CHI 28,0,17,Tarik Cohen right end for -3 yards (tackle by T.J. Ward),0.400,-0.690
2,6:00,3,11,CHI 25,0,17,Mike Glennon pass complete short right to Josh Bellamy for 15 yards (tackle by Brent Grimes),-0.690,1.600
2,5:19,1,10,CHI 40,0,17,Jordan Howard left tackle for 2 yards (tackle by Clinton McDonald),1.600,1.320
2,4:51,2,8,CHI 42,0,17,Tarik Cohen right end for -1 yards (tackle by Kendell Beckwith),1.320,0.500
2,4:21,3,9,CHI 41,0,23,"Mike Glennon pass incomplete short left intended for Josh Bellamy is intercepted by Robert McClain at CHI-47 and returned for 47 yards, touchdown",0.500,-7.000
2,,,,CHI 15,0,23,Nick Folk kicks extra point no good,,
2,4:09,,,TAM 35,0,23,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
2,4:09,1,10,CHI 25,0,23,Mike Glennon pass complete short left to Tarik Cohen for no gain,0.610,0.060
2,3:25,2,10,CHI 25,0,23,Mike Glennon pass complete short left to Tarik Cohen for 1 yard (tackle by Lavonte David),0.060,-0.490
2,2:58,3,9,CHI 26,0,23,Mike Glennon pass complete short right to Deonte Thompson for 13 yards (tackle by Brent Grimes),-0.490,1.530
2,2:23,1,10,CHI 39,0,23,Jordan Howard middle for 2 yards (tackle by Ryan Russell and Clinton McDonald),1.530,1.260
2,2:00,2,8,CHI 41,0,23,Mike Glennon pass complete short left to Kendall Wright for 7 yards (tackle by Lavonte David),1.260,0.000
2,1:23,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.490
2,1:23,3,1,CHI 48,0,23,Jordan Howard middle for -2 yards (tackle by Kendell Beckwith and Gerald McCoy),1.490,0.000
2,1:12,,,,,,Timeout #2 by Tampa Bay Buccaneers,0.000,0.320
2,1:12,4,3,CHI 46,0,23,"Pat O'Donnell punts 54 yards, touchback",-0.320,-0.280
2,1:04,1,10,TAM 20,0,23,Jameis Winston pass complete deep right to DeSean Jackson for 21 yards (tackle by Quintin Demps),0.280,1.660
2,0:58,1,10,TAM 41,0,23,Jameis Winston pass incomplete short right intended for DeSean Jackson,1.660,1.120
2,0:54,2,10,TAM 41,0,23,Jameis Winston pass incomplete short right intended for Cameron Brate,1.120,0.430
2,0:48,3,10,TAM 41,0,23,Jameis Winston pass complete short left to Cameron Brate for 11 yards (tackle by Cre'von LeBlanc),0.430,2.390
2,0:27,1,10,CHI 48,0,23,Jameis Winston pass incomplete short left intended for Adam Humphries (defended by Bryce Callahan),2.390,1.850
2,0:23,2,10,CHI 48,0,23,Jameis Winston pass complete short left to Charles Sims for 4 yards (tackle by Kyle Fuller and Christian Jones),1.850,0.000
2,0:14,,,,,,Timeout #3 by Tampa Bay Buccaneers,0.000,0.000
2,0:14,,,,,,Timeout #2 by Chicago Bears,0.000,-1.690
2,0:14,3,6,CHI 44,0,23,Jameis Winston pass complete short middle to Mike Evans for 17 yards (tackle by Quintin Demps),1.690,3.780
2,0:07,1,10,CHI 27,0,23,"Nick Folk 45 yard field goal good. Penalty on TAM: Illegal Shift, 5 yards (no play)",3.780,3.450
2,0:04,1,15,CHI 32,0,26,Nick Folk 50 yard field goal good,3.450,3.000
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,0,26,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,0,26,Tarik Cohen left end for 7 yards,0.610,1.010
3,14:35,2,3,CHI 32,0,26,Mike Glennon pass incomplete short middle intended for Zach Miller,1.010,0.300
3,14:29,3,3,CHI 32,0,26,Mike Glennon pass incomplete short left intended for Josh Bellamy,0.300,-1.240
3,14:24,4,3,CHI 32,0,26,"Pat O'Donnell punts 63 yards, returned by Bernard Reedy for 17 yards (tackle by Sherrick McManis)",-1.240,-0.410
3,14:11,1,10,TAM 22,0,26,Jacquizz Rodgers left guard for 1 yard (tackle by Mitch Unrein),0.410,0.000
3,13:36,2,9,TAM 23,0,26,Jameis Winston pass complete deep middle to Mike Evans for 16 yards (tackle by Eddie Jackson),0.000,1.530
3,13:03,1,10,TAM 39,0,26,Jacquizz Rodgers right end for 8 yards (tackle by Marcus Cooper),1.530,2.070
3,12:35,2,2,TAM 47,0,26,Jacquizz Rodgers middle for -1 yards (tackle by Eddie Jackson),2.070,1.220
3,11:52,3,3,TAM 46,0,26,Jameis Winston pass complete short middle to Mike Evans for 10 yards (tackle by Kyle Fuller),1.220,2.650
3,11:13,1,10,CHI 44,0,26,Jameis Winston pass incomplete deep right intended for DeSean Jackson,2.650,2.110
3,11:04,2,10,CHI 44,0,26,Jacquizz Rodgers right tackle for 5 yards (tackle by Willie Young),2.110,0.000
3,10:18,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,-2.080
3,10:18,3,5,CHI 39,0,26,Jameis Winston pass complete short left to Adam Humphries for 9 yards (tackle by Eddie Jackson),2.080,3.580
3,9:42,1,10,CHI 30,0,26,Jacquizz Rodgers right end for 10 yards (tackle by Christian Jones),3.580,4.240
3,9:06,1,10,CHI 20,0,26,Jacquizz Rodgers middle for 2 yards (tackle by Pernell McPhee),4.240,3.960
3,8:26,2,8,CHI 18,0,26,Jameis Winston pass complete short right to Charles Sims for 3 yards (tackle by Pernell McPhee). Charles Sims fumbles (forced by Pernell McPhee),3.960,-1.270
3,8:13,1,10,CHI 35,0,26,"Mike Glennon pass incomplete short left intended for Kendall Wright. Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",1.270,0.610
3,8:07,1,20,CHI 25,0,26,Mike Glennon pass complete short right to Kendall Wright for 12 yards (tackle by Keith Tandy),0.610,0.990
3,7:30,2,8,CHI 37,0,26,Tarik Cohen left end for -3 yards (tackle by William Gholston and Gerald McCoy),0.990,-0.100
3,6:45,3,11,CHI 34,0,26,Mike Glennon pass complete short right to Tarik Cohen for 7 yards (tackle by Lavonte David),-0.100,-0.650
3,6:11,4,4,CHI 41,0,26,Pat O'Donnell punts 51 yards,-0.650,0.380
3,6:02,1,10,TAM 8,0,26,"Peyton Barber middle for 3 yards (tackle by Danny Trevathan). Penalty on Jonathan Bullard: Defensive Offside, 5 yards (no play)",-0.380,-0.070
3,5:41,1,5,TAM 13,0,26,Peyton Barber middle for 2 yards (tackle by Jonathan Bullard and Mitch Unrein),-0.070,-0.210
3,4:59,2,3,TAM 15,0,26,Peyton Barber middle for 5 yards (tackle by Danny Trevathan and Leonard Floyd),-0.210,0.280
3,4:17,1,10,TAM 20,0,26,Peyton Barber left end for 1 yard (tackle by Danny Trevathan and Eddie Goldman),0.280,-0.130
3,3:32,2,9,TAM 21,0,26,Jameis Winston pass complete deep left to O.J. Howard for 17 yards (tackle by Eddie Jackson),-0.130,1.470
3,2:54,1,10,TAM 38,0,26,Jameis Winston pass complete short left to Mike Evans for 11 yards (tackle by Kyle Fuller),1.470,2.190
3,2:23,1,10,TAM 49,0,26,Peyton Barber right tackle for 3 yards (tackle by Sam Acho),2.190,2.050
3,1:45,2,7,CHI 48,0,26,Jameis Winston pass incomplete deep left intended for Charles Sims,2.050,1.360
3,1:36,3,7,CHI 48,0,26,Jameis Winston pass complete short left to Cameron Brate for 13 yards (tackle by Christian Jones),1.360,3.250
3,1:08,1,10,CHI 35,0,26,Peyton Barber middle for 14 yards (tackle by Marcus Cooper),3.250,4.170
3,0:47,1,10,CHI 21,0,26,Peyton Barber right tackle for 8 yards (tackle by Marcus Cooper and Eddie Jackson),4.170,4.950
3,0:16,2,2,CHI 13,0,26,Peyton Barber middle for 1 yard (tackle by Akiem Hicks),4.950,4.490
Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CHI 12,0,26,Jacquizz Rodgers right tackle for 2 yards (tackle by Sam Acho and Christian Jones),4.490,4.910
4,14:22,1,10,CHI 10,0,26,Jacquizz Rodgers right tackle for 6 yards (tackle by Jonathan Anderson),4.910,5.340
4,13:40,2,4,CHI 4,0,26,"Jacquizz Rodgers right guard for 3 yards (tackle by Akiem Hicks and Willie Young). Penalty on J.R. Sweezy: Offensive Holding, 10 yards (no play)",5.340,3.580
4,13:13,2,14,CHI 14,0,26,Jameis Winston pass complete short middle to Adam Humphries for 9 yards (tackle by Marcus Cooper),3.580,4.260
4,12:33,3,5,CHI 5,0,26,Jameis Winston pass incomplete short middle intended for Chris Godwin,4.260,3.010
4,12:29,4,5,CHI 5,0,29,Nick Folk 23 yard field goal good,3.010,3.000
4,12:26,,,TAM 35,0,29,"Nick Folk kicks off 66 yards, returned by Deonte Thompson for 33 yards (tackle by Justin Evans). Penalty on Daniel Brown: Offensive Holding, 10 yards",0.000,0.380
4,12:19,1,10,CHI 10,0,29,Mike Glennon pass complete short right to Deonte Thompson for 10 yards (tackle by Brent Grimes),-0.380,0.280
4,11:53,1,10,CHI 20,0,29,Mike Glennon pass complete short right to Zach Miller for 5 yards (tackle by Lavonte David),0.280,0.410
4,11:31,2,5,CHI 25,0,29,Mike Glennon pass complete short right to Tanner Gentry for 12 yards (tackle by Brent Grimes),0.410,1.400
4,11:04,1,10,CHI 37,0,29,Mike Glennon pass complete short left to Josh Bellamy for 8 yards,1.400,1.940
4,10:32,2,2,CHI 45,0,29,Mike Glennon pass incomplete short middle intended for Josh Bellamy,1.940,1.220
4,10:28,3,2,CHI 45,0,29,Mike Glennon pass complete short left to Tarik Cohen for 10 yards (tackle by Chris Conte),1.220,2.590
4,10:09,1,10,TAM 45,0,29,"Mike Glennon pass complete deep middle to Josh Bellamy for 17 yards (tackle by Chris Conte). Penalty on Chris Conte: Unnecessary Roughness, 14 yards",2.590,4.650
4,9:48,1,10,TAM 14,0,29,Mike Glennon pass incomplete short middle intended for Tarik Cohen (defended by Kendell Beckwith),4.650,4.000
4,9:41,2,10,TAM 14,0,29,Mike Glennon pass incomplete short middle intended for Kendall Wright,4.000,3.110
4,9:36,3,10,TAM 14,0,29,Mike Glennon pass incomplete short middle intended for Kendall Wright,3.110,2.510
4,9:32,4,10,TAM 14,0,29,Mike Glennon pass incomplete short middle intended for Zach Miller,2.510,0.280
4,9:27,1,10,TAM 14,0,29,Jacquizz Rodgers middle for 1 yard (tackle by Quintin Demps),-0.280,-0.640
4,8:44,2,9,TAM 15,0,29,Jameis Winston pass incomplete short right intended for O.J. Howard,-0.640,-1.280
4,8:39,3,9,TAM 15,0,29,Jameis Winston sacked by Eddie Goldman for -5 yards,-1.280,-2.490
4,7:58,4,14,TAM 10,0,29,"Bryan Anger punts 54 yards, returned by Tarik Cohen for 10 yards (tackle by Cameron Lynch)",-2.490,-1.990
4,7:44,1,10,CHI 46,0,29,Mike Glennon pass complete deep right to Deonte Thompson for 20 yards (tackle by Chris Conte),1.990,3.310
4,7:15,1,10,TAM 34,0,29,Mike Glennon pass complete short right to Zach Miller for 5 yards (tackle by Lavonte David),3.310,3.450
4,6:53,2,5,TAM 29,0,29,Mike Glennon pass complete short middle to Tanner Gentry for 15 yards (tackle by Brent Grimes and Chris Conte),3.450,4.650
4,6:35,1,10,TAM 14,0,29,Mike Glennon pass incomplete short right intended for Kendall Wright,4.650,4.000
4,6:30,2,10,TAM 14,0,29,Mike Glennon pass incomplete short right intended for Tanner Gentry,4.000,3.110
4,6:25,3,10,TAM 14,0,29,Mike Glennon pass complete short right to Tarik Cohen for 7 yards (tackle by Chris Conte),3.110,2.990
4,5:42,4,3,TAM 7,0,29,Mike Glennon pass incomplete short right intended for Zach Miller (defended by Chris Conte),2.990,0.380
4,5:37,1,10,TAM 7,0,29,Peyton Barber middle for 3 yards (tackle by Roy Robertson-Harris),-0.380,-0.560
4,4:50,2,7,TAM 10,0,29,Peyton Barber middle for 2 yards (tackle by Mitch Unrein and Roy Robertson-Harris),-0.560,-0.840
4,4:03,3,5,TAM 12,0,29,Ryan Fitzpatrick pass incomplete short left intended for Mike Evans,-0.840,-2.490
4,3:57,4,5,TAM 12,0,29,"Bryan Anger punts 50 yards, fair catch by Tarik Cohen",-2.490,-1.470
4,3:50,1,10,CHI 38,0,29,Mike Glennon pass complete short left to Zach Miller for 11 yards (tackle by T.J. Ward),1.470,2.190
4,3:25,1,10,CHI 49,0,29,Mike Glennon pass complete deep right to Kendall Wright for 18 yards (tackle by Ryan Smith),2.190,3.380
4,2:53,1,10,TAM 33,0,29,Mike Glennon pass complete short right to Zach Miller for 4 yards (tackle by Adarius Glanton),3.380,3.380
4,2:24,2,6,TAM 29,0,29,Mike Glennon pass complete short right to Zach Miller for 5 yards (tackle by Ryan Smith),3.380,3.340
4,2:00,3,1,TAM 24,0,29,"Penalty on Clinton McDonald: Neutral Zone Infraction, 5 yards (no play)",3.340,4.310
4,2:00,1,10,TAM 19,0,29,Mike Glennon pass incomplete deep left intended for Deonte Thompson (defended by T.J. Ward),4.310,3.750
4,1:53,2,10,TAM 19,0,29,Mike Glennon pass complete short right to Kendall Wright for 5 yards (tackle by Ryan Smith),3.750,3.760
4,1:49,3,5,TAM 14,6,29,"Mike Glennon pass complete short left to Deonte Thompson for 14 yards, touchdown",3.760,7.000
4,1:43,,,TAM 15,7,29,Connor Barth kicks extra point good,0.000,0.000
4,1:43,,,CHI 35,7,29,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
4,1:43,1,10,TAM 25,7,29,Peyton Barber left tackle for 8 yards (tackle by Kyle Fuller),0.610,1.140
4,0:58,2,2,TAM 33,7,29,Ryan Fitzpatrick kneels for -1 yards,1.140,0.300
4,0:29,3,3,TAM 32,7,29,Ryan Fitzpatrick kneels for -1 yards,0.300,-1.310
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
