Unnamed: 0,MIN,CHI
First Downs,12,18
Rush-Yds-TDs,22-46-0,36-162-1
Cmp-Att-Yd-TD-INT,21-31-181-1-0,16-24-141-0-2
Sacked-Yards,2-7,5-28
Net Pass Yards,174,113
Total Yards,220,275
Fumbles-Lost,3-1,2-1
Turnovers,1,3
Penalties-Yards,5-63,5-29
Third Down Conv.,2-13,6-14
Fourth Down Conv.,1-2,0-1
Time of Possession,24:49,35:11
