Unnamed: 0,LAC,KAN
First Downs,21,15
Rush-Yds-TDs,24-75-0,18-93-0
Cmp-Att-Yd-TD-INT,33-48-334-3-1,24-35-235-2-0
Sacked-Yards,2-8,1-9
Net Pass Yards,326,226
Total Yards,401,319
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,3-25,6-54
Third Down Conv.,5-16,4-12
Fourth Down Conv.,4-4,0-0
Time of Possession,33:37,26:23
