Unnamed: 0,GNB,IND
First Downs,21,23
Rush-Yds-TDs,18-66-1,37-140-0
Cmp-Att-Yd-TD-INT,27-38-311-3-1,24-36-288-3-1
Sacked-Yards,1-10,1-8
Net Pass Yards,301,280
Total Yards,367,420
Fumbles-Lost,3-3,1-1
Turnovers,4,2
Penalties-Yards,7-45,8-116
Third Down Conv.,4-9,6-16
Fourth Down Conv.,0-1,2-2
Time of Possession,27:49,35:01
