Quarter,Time,Tm,Detail,GNB,IND
1,8:21,Packers,Robert Tonyan 25 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,5:45,Colts,Michael Pittman Jr. 45 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,7
2,9:55,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),14,7
,7:48,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),21,7
,1:52,Colts,Trey Burton 17 yard pass from Philip Rivers (Rodrigo Blankenship kick),21,14
,0:16,Packers,Jamaal Williams 4 yard pass from Aaron Rodgers (Mason Crosby kick),28,14
3,7:43,Colts,Rodrigo Blankenship 37 yard field goal,28,17
,1:59,Colts,Jack Doyle 6 yard pass from Philip Rivers (Nyheim Hines run),28,25
4,11:12,Colts,Rodrigo Blankenship 32 yard field goal,28,28
,8:56,Colts,Rodrigo Blankenship 43 yard field goal,28,31
,0:03,Packers,Mason Crosby 26 yard field goal,31,31
OT,7:10,Colts,Rodrigo Blankenship 39 yard field goal,31,34
