Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 60 yards, returned by Darrius Shepherd for 16 yards (tackle by George Odum and Zaire Franklin)",0.000,0.340
1,14:55,1,10,GNB 21,0,0,Aaron Rodgers pass complete deep right to Davante Adams for 33 yards (tackle by Rock Ya-Sin),0.340,2.520
1,14:17,1,10,IND 46,0,0,Aaron Rodgers pass complete short right to Allen Lazard for 8 yards (tackle by Rock Ya-Sin),2.520,3.060
1,13:48,2,2,IND 38,0,0,"Aaron Rodgers aborted snap, recovered by Darius Leonard at IND-39",3.060,-1.530
1,13:43,1,10,IND 39,0,0,"Philip Rivers pass complete short left to Nyheim Hines for 15 yards (tackle by Kamal Martin). Penalty on Le'Raven Clark: Offensive Holding, 10 yards (no play)",1.530,0.870
1,13:21,1,20,IND 29,0,0,Philip Rivers pass complete short middle to Zach Pascal for 14 yards (tackle by Adrian Amos),0.870,1.530
1,12:39,2,6,IND 43,0,0,Philip Rivers pass incomplete short middle intended for T.Y. Hilton (defended by Adrian Amos),1.530,0.830
1,12:33,3,6,IND 43,0,0,"Philip Rivers pass complete short middle to Mo Alie-Cox for 8 yards (tackle by Jaire Alexander and Raven Greene). Mo Alie-Cox fumbles (forced by Raven Greene), recovered by Darnell Savage at GB-49",0.830,-2.190
1,12:27,1,10,GNB 49,0,0,Aaron Jones left end for 7 yards (tackle by Julian Blackmon),2.190,2.590
1,11:46,2,3,IND 44,0,0,Aaron Jones left end for 2 yards (tackle by Kenny Moore),2.590,2.150
1,11:06,3,1,IND 42,0,0,Aaron Rodgers left end for 4 yards (tackle by Al-Quadin Muhammad),2.150,3.050
1,10:29,1,10,IND 38,0,0,Aaron Rodgers pass complete short right to Robert Tonyan for 4 yards (tackle by Rock Ya-Sin),3.050,3.050
1,9:48,2,6,IND 34,0,0,Aaron Rodgers pass complete short left to Marcedes Lewis for 8 yards (tackle by Kenny Moore),3.050,3.840
1,9:06,1,10,IND 26,0,0,Aaron Jones right guard for 1 yard (tackle by Kenny Moore),3.840,3.430
1,8:26,2,9,IND 25,6,0,"Aaron Rodgers pass complete deep middle to Robert Tonyan for 25 yards, touchdown",3.430,7.000
1,8:21,,,IND 15,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,8:21,,,GNB 35,7,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,8:21,1,10,IND 25,7,0,Nyheim Hines up the middle for 1 yard (tackle by Za'Darius Smith),0.610,0.200
1,7:40,2,9,IND 26,7,0,Nyheim Hines right end for -3 yards (tackle by Za'Darius Smith and Darnell Savage),0.200,-0.890
1,6:57,3,12,IND 23,7,0,Philip Rivers pass complete short left to T.Y. Hilton for 13 yards (tackle by Kevin King and Chandon Sullivan),-0.890,1.330
1,6:26,1,10,IND 36,7,0,De'Michael Harris left end for 19 yards (tackle by Darnell Savage),1.330,2.590
1,5:54,1,10,GNB 45,7,6,"Philip Rivers pass complete short middle to Michael Pittman for 45 yards, touchdown",2.590,7.000
1,5:45,,,GNB 15,7,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,5:45,,,IND 35,7,7,"Rigoberto Sanchez kicks off 61 yards, returned by Darrius Shepherd for 30 yards (tackle by Tavon Wilson)",0.000,1.200
1,5:39,1,10,GNB 34,7,7,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,1.200,0.660
1,5:35,2,10,GNB 34,7,7,Jamaal Williams right end for 1 yard (tackle by Khari Willis),0.660,0.100
1,4:53,3,9,GNB 35,7,7,Aaron Rodgers sacked by Justin Houston for -10 yards,0.100,-1.700
1,4:06,4,19,GNB 25,7,7,"JK Scott punts 39 yards, returned by Nyheim Hines for 4 yards (tackle by Will Redmond)",-1.700,-1.600
1,3:57,1,10,IND 40,7,7,Jordan Wilkins up the middle for 8 yards (tackle by Darnell Savage and Christian Kirksey),1.600,2.130
1,3:27,2,2,IND 48,7,7,Jonathan Taylor right guard for 5 yards (tackle by Christian Kirksey and Adrian Amos),2.130,2.460
1,3:02,1,10,GNB 47,7,7,"Jonathan Taylor right end for 5 yards (tackle by Christian Kirksey). Penalty on Quenton Nelson: Offensive Holding, 10 yards (no play)",2.460,1.800
1,2:42,1,20,IND 43,7,7,Philip Rivers pass incomplete short left intended for Nyheim Hines (defended by Rashan Gary),1.800,0.560
