Quarter,Time,Tm,Detail,OAK,DEN
1.0,8:11,Broncos,A.J. Derby 22 yard pass from Trevor Siemian (Brandon McManus kick),0,7
,1:09,Broncos,Brandon McManus 28 yard field goal,0,10
2.0,3:36,Raiders,Johnny Holton 64 yard pass from Derek Carr (Giorgio Tavecchio kick),7,10
3.0,9:40,Broncos,Brandon McManus 36 yard field goal,7,13
,5:06,Broncos,Brandon McManus 46 yard field goal,7,16
4.0,5:23,Raiders,Giorgio Tavecchio 38 yard field goal,10,16
