Unnamed: 0,OAK,DEN
First Downs,11,16
Rush-Yds-TDs,15-24-0,32-143-0
Cmp-Att-Yd-TD-INT,21-35-249-1-1,16-26-179-1-0
Sacked-Yards,3-19,4-24
Net Pass Yards,230,155
Total Yards,254,298
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,7-75,6-40
Third Down Conv.,2-12,5-16
Fourth Down Conv.,0-3,0-0
Time of Possession,27:03,32:57
