Quarter,Time,Down,ToGo,Location,HOU,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 72 yards, returned by Jerious Norwood for 24 yards (tackle by Shawn Barber)",0.000,0.410
1,14:55,1,10,ATL 22,0,0,Joey Harrington pass complete short right to Joe Horn for 5 yards (tackle by Jamar Fletcher),0.410,0.540
1,14:21,2,5,ATL 27,0,0,Warrick Dunn up the middle for 2 yards (tackle by Travis Johnson),0.540,0.100
1,13:43,3,3,ATL 29,0,0,Joey Harrington pass incomplete short right intended for Roddy White,0.100,-1.440
1,13:38,4,3,ATL 29,0,0,"Michael Koenen punts 51 yards, returned by Dexter Wynn for 27 yards (tackle by Michael Koenen). Penalty on Charlie Anderson: Illegal Block Above the Waist, 10 yards",-1.440,0.280
1,13:21,1,10,HOU 14,0,0,Ron Dayne up the middle for 2 yards (tackle by Keith Brooking),-0.280,-0.510
1,12:48,2,8,HOU 16,0,0,Ron Dayne right tackle for 5 yards (tackle by Jamaal Anderson),-0.510,-0.560
1,12:16,3,3,HOU 21,0,0,Ron Dayne right tackle for 2 yards (tackle by Montavious Stanley),-0.560,-1.830
1,11:26,4,1,HOU 23,0,0,"Matt Turk punts 57 yards, returned by Adam Jennings for 18 yards (tackle by Shantee Orr). Penalty on Michael Boulware: Offensive Holding, 10 yards",-1.830,-2.130
1,11:15,1,10,ATL 48,0,0,Warrick Dunn up the middle for 3 yards (tackle by Anthony Weaver),2.130,1.990
1,10:40,2,7,HOU 49,0,0,Joey Harrington pass complete short right to Michael Jenkins for 4 yards (tackle by Morlon Greenwood),1.990,1.820
1,10:01,3,3,HOU 45,0,0,Joey Harrington pass complete short middle to Michael Jenkins for 29 yards (tackle by Von Hutchins),1.820,4.510
1,9:11,1,10,HOU 16,0,0,Joey Harrington pass incomplete deep middle intended for Alge Crumpler (defended by C.C. Brown),4.510,3.900
1,9:06,2,10,HOU 16,0,0,Warrick Dunn up the middle for 6 yards (tackle by Morlon Greenwood and Earl Cochran),3.900,4.170
1,8:24,3,4,HOU 10,0,0,Joey Harrington pass incomplete short middle intended for Alge Crumpler,4.170,2.840
1,8:18,4,4,HOU 10,0,3,Morten Andersen 28 yard field goal good,2.840,3.000
1,,,,ATL 30,0,3,"Michael Koenen kicks off 71 yards, returned by Dexter Wynn for 27 yards (tackle by Adam Jennings)",0.000,0.670
1,8:09,1,10,HOU 26,0,3,Matt Schaub pass complete short middle to Ron Dayne for 4 yards (tackle by Keith Brooking),0.670,0.670
1,7:34,2,6,HOU 30,0,3,Ron Dayne left tackle for 3 yards (tackle by Trey Lewis),0.670,0.370
1,7:03,3,3,HOU 33,0,3,Matt Schaub pass complete short left to Kevin Walter for 7 yards (tackle by Chris Houston),0.370,1.600
1,6:38,1,10,HOU 40,0,3,Matt Schaub pass incomplete short right intended for Owen Daniels,1.600,1.050
1,6:33,2,10,HOU 40,0,3,Ron Dayne up the middle for 25 yards (tackle by Chris Crocker),1.050,3.250
1,5:53,1,10,ATL 35,0,3,Matt Schaub pass incomplete,3.250,2.700
1,5:42,2,10,ATL 35,6,3,"Matt Schaub pass complete deep left to Andre' Davis for 35 yards, touchdown. Penalty on Chris Houston: Defensive Pass Interference (Declined)",2.700,7.000
1,,,,ATL 2,7,3,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,7,3,"Kris Brown kicks off 73 yards, returned by Jerious Norwood for 35 yards (tackle by Charlie Anderson)",0.000,1.070
1,5:27,1,10,ATL 32,7,3,Jerious Norwood up the middle for 5 yards (tackle by Von Hutchins),1.070,1.200
1,4:54,2,5,ATL 37,7,3,Jerious Norwood up the middle for 4 yards (tackle by Anthony Weaver),1.200,1.030
1,4:17,3,1,ATL 41,7,3,Artose Pinner right end for 2 yards (tackle by Morlon Greenwood),1.030,1.800
1,3:35,1,10,ATL 43,7,3,"Joey Harrington pass complete deep right to Roddy White for 34 yards (tackle by Von Hutchins). Penalty on Demarcus Faggins: Defensive Holding (Declined), Penalty on Demarcus Faggins: Defensive Pass Interference (Declined)",1.800,4.040
1,3:06,1,10,HOU 23,7,3,Joey Harrington pass complete short right to Michael Jenkins for 12 yards (tackle by Morlon Greenwood),4.040,4.840
1,2:36,1,10,HOU 11,7,3,Jerious Norwood left tackle for 4 yards (tackle by Anthony Maddox),4.840,4.890
1,1:58,2,6,HOU 7,7,3,Jerious Norwood left end for 2 yards (tackle by DeMeco Ryans and Von Hutchins),4.890,4.440
1,1:18,3,4,HOU 5,7,9,"Joey Harrington pass complete short middle to Michael Jenkins for 5 yards, touchdown",4.440,7.000
1,,,,HOU 2,7,10,Morten Andersen kicks extra point good,0.000,0.000
1,,,,ATL 30,7,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
1,1:13,1,10,HOU 20,7,10,Matt Schaub pass complete short right to Kevin Walter for 13 yards (tackle by Lewis Sanders),0.280,1.140
1,0:37,1,10,HOU 33,7,10,Ron Dayne right tackle for 6 yards (tackle by Lewis Sanders),1.140,1.400
1,0:02,2,4,HOU 39,7,10,Ron Dayne right tackle for 3 yards (tackle by Stephen Nicholas),1.400,1.090
Quarter,Time,Down,ToGo,Location,HOU,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,HOU 42,7,10,Ron Dayne up the middle for no gain (tackle by Grady Jackson),1.090,-0.590
2,14:37,4,1,HOU 42,7,10,"Matt Turk punts 48 yards, fair catch by Adam Jennings",-0.590,0.380
2,14:30,1,10,ATL 10,7,10,Joey Harrington pass complete short right to Alge Crumpler for 11 yards (tackle by Danny Clark),-0.380,0.340
2,14:02,1,10,ATL 21,7,10,Warrick Dunn up the middle for 4 yards (tackle by Morlon Greenwood and Travis Johnson),0.340,0.340
2,13:16,2,6,ATL 25,7,10,"Joey Harrington right tackle for no gain. Penalty on Travis Johnson: Defensive Holding, 5 yards (no play)",0.340,0.940
2,12:57,1,10,ATL 30,7,10,Joey Harrington pass complete short right to Laurent Robinson for 1 yard (tackle by Morlon Greenwood),0.940,0.530
2,12:20,2,9,ATL 31,7,10,Warrick Dunn up the middle for -1 yards (tackle by Anthony Maddox),0.530,-0.300
