Unnamed: 0,HOU,ATL
First Downs,18,20
Rush-Yds-TDs,22-87-0,30-90-0
Cmp-Att-Yd-TD-INT,28-40-317-1-0,23-29-223-2-0
Sacked-Yards,1-6,2-9
Net Pass Yards,311,214
Total Yards,398,304
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,7-78,2-20
Third Down Conv.,5-13,7-15
Fourth Down Conv.,1-2,0-0
Time of Possession,25:48,34:12
