Quarter,Time,Tm,Detail,PIT,NYJ
1,12:49,Jets,Chris Baker 1 yard pass from Kellen Clemens (Mike Nugent kick),0,7
,1:31,Jets,Mike Nugent 25 yard field goal,0,10
2,9:04,Steelers,Santonio Holmes 7 yard pass from Ben Roethlisberger (Jeff Reed kick),7,10
,0:00,Jets,Mike Nugent 19 yard field goal,7,13
3,8:24,Steelers,Jeff Reed 37 yard field goal,10,13
,1:34,Steelers,Jeff Reed 33 yard field goal,13,13
4,8:41,Steelers,Jeff Reed 48 yard field goal,16,13
,0:23,Jets,Mike Nugent 28 yard field goal,16,16
OT,9:57,Jets,Mike Nugent 38 yard field goal,16,19
