Unnamed: 0,PIT,NYJ
First Downs,16,20
Rush-Yds-TDs,33-112-0,34-151-0
Cmp-Att-Yd-TD-INT,15-25-195-1-1,14-31-162-1-1
Sacked-Yards,7-44,3-16
Net Pass Yards,151,146
Total Yards,263,297
Fumbles-Lost,2-1,0-0
Turnovers,2,1
Penalties-Yards,8-100,4-30
Third Down Conv.,5-16,3-13
Fourth Down Conv.,0-0,0-2
Time of Possession,35:52,29:11
