Unnamed: 0,BAL,SDG
First Downs,22,20
Rush-Yds-TDs,32-130-2,21-53-0
Cmp-Att-Yd-TD-INT,18-27-190-2-1,25-45-436-2-2
Sacked-Yards,1-9,2-15
Net Pass Yards,181,421
Total Yards,311,474
Fumbles-Lost,2-0,1-0
Turnovers,1,2
Penalties-Yards,4-32,12-85
Third Down Conv.,4-11,7-16
Fourth Down Conv.,0-0,1-2
Time of Possession,28:41,31:19
