Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
1,6:10,2,7,SDG 18,0,7,Ray Rice middle for 6 yards (tackle by Eric Weddle and Jacques Cesaire),4.040,4.490
1,5:35,3,1,SDG 12,0,7,Joe Flacco pass complete short right to Ray Rice for 3 yards (tackle by Quentin Jammer),4.490,5.140
1,5:21,,,,0,7,Timeout #1 by San Diego Chargers,0.000,5.140
1,5:21,1,9,SDG 9,0,7,Willis McGahee middle for 4 yards (tackle by Jacques Cesaire),5.140,5.150
1,4:53,2,5,SDG 5,6,7,"Willis McGahee middle for 5 yards, touchdown",5.150,7.000
1,,,,SDG 2,7,7,Steven Hauschka kicks extra point good,0.000,0.000
1,,,,BAL 30,7,7,"Steven Hauschka kicks off 74 yards, returned by Antonio Cromartie for 22 yards (tackle by Brendon Ayanbadejo). Penalty on Matt Lawrence: Unnecessary Roughness, 15 yards",0.000,1.140
1,4:42,1,10,SDG 33,7,7,Michael Bennett left end for 7 yards (tackle by Domonique Foxworth),1.140,1.540
1,4:07,2,3,SDG 40,7,7,Michael Bennett right tackle for 7 yards (tackle by Dawan Landry),1.540,2.060
1,3:27,1,10,SDG 47,7,7,Philip Rivers pass complete deep right to Malcom Floyd for 45 yards (tackle by Domonique Foxworth),2.060,5.370
1,2:40,1,8,BAL 8,7,7,Michael Bennett middle for 3 yards (tackle by Tavares Gooden),5.370,5.150
1,2:02,2,5,BAL 5,7,7,Philip Rivers sacked by Haloti Ngata and Terrell Suggs for -10 yards,5.150,2.930
1,1:25,,,,7,7,Timeout #2 by San Diego Chargers,0.000,2.930
1,1:25,3,15,BAL 15,7,7,Philip Rivers middle for 4 yards (tackle by Dawan Landry),2.930,2.700
1,0:46,4,11,BAL 11,7,10,Nate Kaeding 29 yard field goal good,2.700,3.000
1,,,,SDG 30,7,10,"Nate Kaeding kicks off 74 yards, returned by Chris Carr for 26 yards (tackle by Mike Tolbert). Chris Carr fumbles (forced by Mike Tolbert), ball out of bounds at BAL-22",0.000,0.410
1,0:40,1,10,BAL 22,7,10,Joe Flacco pass complete short right to Derrick Mason for 5 yards (tackle by Eric Weddle),0.410,0.540
1,0:04,2,5,BAL 27,7,10,Joe Flacco pass incomplete deep left intended for Mark Clayton,0.540,-0.160
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,BAL 27,7,10,Joe Flacco pass complete short right to Ray Rice for 15 yards (tackle by Steve Gregory). Penalty on Larry English: Defensive Offside (Declined),-0.160,1.730
2,14:39,1,10,BAL 42,7,10,Ray Rice left end for 8 yards (tackle by Eric Weddle),1.730,2.270
2,14:03,2,2,,7,10,Le'Ron McClain left end for 5 yards (tackle by Kevin Burnett),2.270,2.590
2,13:27,1,10,SDG 45,7,10,Willis McGahee right end for 11 yards (tackle by Eric Weddle),2.590,3.310
2,12:56,1,10,SDG 34,7,10,Joe Flacco pass complete short right to Willis McGahee for 8 yards (tackle by Kevin Burnett),3.310,3.850
2,12:26,2,2,SDG 26,7,10,Le'Ron McClain middle for 3 yards (tackle by Vaughn Martin),3.850,4.040
2,11:51,1,10,SDG 23,7,10,Ray Rice left end for -1 yards (tackle by Ogemdi Nwagbuo and Vaughn Martin),4.040,3.360
2,11:09,2,11,SDG 24,7,10,Joe Flacco pass incomplete short right intended for Le'Ron McClain,3.360,2.680
2,11:04,3,11,SDG 24,7,10,"Joe Flacco pass incomplete deep right intended for Todd Heap. Penalty on Kevin Burnett: Defensive Pass Interfere, 21 yards (no play)",2.680,6.510
2,10:56,1,3,SDG 3,13,10,"Willis McGahee left tackle for 3 yards, touchdown",6.510,7.000
2,,,,SDG 2,14,10,Steven Hauschka kicks extra point good,0.000,0.000
2,,,,BAL 30,14,10,"Steven Hauschka kicks off 62 yards, returned by Darren Sproles for 26 yards (tackle by Brendon Ayanbadejo)",0.000,1.200
2,10:44,1,10,SDG 34,14,10,Legedu Naanee for -5 yards (tackle by Ray Lewis),1.200,-0.020
2,10:06,2,15,SDG 29,14,10,Philip Rivers pass complete deep right to Vincent Jackson for 19 yards (tackle by Ray Lewis),-0.020,2.130
2,9:22,1,10,SDG 48,14,10,Philip Rivers pass incomplete deep middle intended for Chris Chambers,2.130,1.580
2,9:12,2,10,SDG 48,14,10,Michael Bennett left end for 2 yards (tackle by Fabian Washington and Jarret Johnson),1.580,1.160
2,8:31,3,8,,14,10,Philip Rivers sacked by Terrell Suggs for -5 yards,1.160,-0.390
2,8:11,4,13,SDG 45,14,10,Mike Scifres punts 41 yards,-0.390,0.280
2,8:04,1,10,BAL 14,14,10,Ray Rice left tackle for 3 yards (tackle by Shaun Phillips and Shawne Merriman),-0.280,-0.370
2,7:23,2,7,BAL 17,14,10,Joe Flacco right end for 3 yards (tackle by Tim Dobbins),-0.370,-0.680
2,6:47,3,4,BAL 20,14,10,Joe Flacco pass incomplete deep right intended for Todd Heap,-0.680,-2.030
2,6:43,4,4,BAL 20,14,10,"Sam Koch punts 42 yards, fair catch by Darren Sproles",-2.030,-1.470
2,6:34,1,10,SDG 38,14,10,Darren Sproles middle for 1 yard (tackle by Dawan Landry),1.470,1.060
2,5:57,2,9,SDG 39,14,10,Philip Rivers pass complete short middle to Darren Sproles for 22 yards (tackle by Fabian Washington),1.060,2.980
2,5:10,1,10,BAL 39,14,10,Philip Rivers pass incomplete deep left intended for Chris Chambers,2.980,2.440
2,5:01,2,10,BAL 39,14,10,"Philip Rivers pass complete deep right to Antonio Gates for 37 yards (tackle by Ray Lewis and Dawan Landry). Antonio Gates fumbles (forced by Ray Lewis), recovered by Vincent Jackson at BAL-2",2.440,6.740
2,4:18,1,2,BAL 2,14,10,Darren Sproles left end for -1 yards (tackle by Terrell Suggs),6.740,5.530
2,3:40,,,,14,10,Timeout #3 by San Diego Chargers,0.000,5.530
2,3:40,2,3,BAL 3,14,10,Philip Rivers pass complete short right to Darren Sproles for -1 yards (tackle by Ray Lewis),5.530,4.490
2,3:02,3,4,BAL 4,14,10,Philip Rivers pass incomplete short left intended for Chris Chambers,4.490,3.030
2,3:02,4,4,BAL 4,14,13,Nate Kaeding 22 yard field goal good,3.030,3.000
2,,,,SDG 30,14,13,"Nate Kaeding kicks off 75 yards, touchback. Penalty on Legedu Naanee: Offside on Free Kick, 5 yards",0.000,0.610
2,3:00,1,10,BAL 25,14,13,"Ray Rice left end for no gain (tackle by Shaun Phillips). Penalty on Shaun Phillips: Defensive Offside, 5 yards (no play)",0.610,1.340
2,3:00,1,5,BAL 30,14,13,Joe Flacco pass complete short right to Derrick Mason for 12 yards (tackle by Quentin Jammer and Eric Weddle),1.340,1.730
2,3:00,1,10,BAL 42,14,13,Ray Rice left end for 8 yards (tackle by Shaun Phillips and Stephen Cooper),1.730,2.270
2,2:00,2,2,,14,13,Willis McGahee left end for 9 yards (tackle by Ogemdi Nwagbuo and Clinton Hart),2.270,2.850
2,1:49,,,,14,13,Timeout #1 by Baltimore Ravens,0.000,2.850
2,1:49,1,10,SDG 41,14,13,Joe Flacco pass complete short left to Derrick Mason for 14 yards (tackle by Antonio Cromartie),2.850,3.780
2,1:45,1,10,SDG 27,20,13,"Joe Flacco pass complete deep left to Kelley Washington for 27 yards, touchdown",3.780,7.000
2,,,,SDG 2,21,13,Steven Hauschka kicks extra point good,0.000,0.000
2,,,,BAL 30,,,"Steven Hauschka kicks off 65 yards, returned by Darren Sproles for 53 yards (tackle by Steven Hauschka)",,
2,1:28,1,10,BAL 42,21,13,Philip Rivers pass incomplete deep right intended for Malcom Floyd,2.790,2.240
2,1:22,2,10,BAL 42,21,13,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Dawan Landry),2.240,2.340
2,1:17,3,4,BAL 36,21,13,Philip Rivers pass complete short middle to Darren Sproles for 2 yards (tackle by Ray Lewis),2.340,1.100
2,0:38,,,,21,13,Timeout #2 by Baltimore Ravens,0.000,1.100
2,0:38,4,2,BAL 34,21,13,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Tavares Gooden and Dawan Landry),1.100,3.910
2,0:38,1,10,BAL 25,21,13,Philip Rivers spiked the ball,3.910,3.360
2,0:24,2,10,BAL 25,21,13,Philip Rivers pass complete deep right to Vincent Jackson for 24 yards (tackle by Fabian Washington). Penalty on Trevor Pryce: Roughing the Passer,3.360,6.970
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,0:19,1,1,BAL 1,21,13,"Penalty on Philip Rivers: Delay of Game, 4 yards (no play)",6.970,6.060
2,0:19,1,5,BAL 5,21,13,Philip Rivers pass incomplete short right intended for Legedu Naanee,6.060,5.150
2,0:14,2,5,BAL 5,21,13,Philip Rivers pass incomplete,5.150,4.260
2,0:10,3,5,BAL 5,21,16,Nate Kaeding 23 yard field goal good,4.260,3.000
2,,,,SDG 30,21,16,"Nate Kaeding kicks off 42 yards, returned by Lardarius Webb for 15 yards (tackle by Paul Oliver)",0.000,1.800
2,0:04,1,10,BAL 43,21,16,Joe Flacco kneels for -1 yards,1.800,1.120
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,21,16,"Nate Kaeding kicks off 69 yards, returned by Chris Carr for 41 yards (tackle by Brandon Siler)",0.000,1.730
3,14:53,1,10,BAL 42,21,16,Willis McGahee left end for 7 yards (tackle by Antonio Cromartie),1.730,2.130
3,14:08,2,3,BAL 49,21,16,Le'Ron McClain middle for 2 yards (tackle by Clinton Hart and Ogemdi Nwagbuo),2.130,1.690
3,13:24,3,1,SDG 49,21,16,Joe Flacco pass incomplete short left intended for Todd Heap,1.690,0.000
3,13:19,4,1,SDG 49,21,16,"Sam Koch punts 37 yards, fair catch by Darren Sproles. Penalty on Larry English: Running Into the Kicker, 5 yards (no play)",0.000,2.650
3,13:11,1,10,SDG 44,21,16,Joe Flacco pass incomplete short left intended for Mark Clayton,2.650,2.110
3,13:05,2,10,SDG 44,21,16,Joe Flacco pass complete short left to Kelley Washington for 2 yards (tackle by Antoine Cason),2.110,1.690
3,12:26,3,8,SDG 42,21,16,Joe Flacco pass incomplete short middle intended for Derrick Mason (defended by Quentin Jammer),1.690,0.460
3,12:22,4,8,SDG 42,21,16,Sam Koch punts 39 yards,0.460,0.380
3,12:13,1,10,SDG 3,21,16,Jacob Hester middle for 2 yards (tackle by Ray Lewis),-0.380,-0.630
3,11:40,2,8,SDG 5,21,16,Philip Rivers pass complete short left to Chris Chambers for 15 yards (tackle by Domonique Foxworth),-0.630,0.280
3,11:03,1,10,SDG 20,21,16,Darren Sproles middle for 4 yards (tackle by Tavares Gooden and Ray Lewis),0.280,0.270
3,10:23,2,6,SDG 24,21,16,Philip Rivers pass incomplete short right intended for Darren Sproles,0.270,-0.430
3,10:17,3,6,SDG 24,21,16,Philip Rivers pass incomplete is intercepted by Dawan Landry at SDG-30,-0.430,-4.110
3,10:06,1,10,SDG 22,21,16,Willis McGahee middle for 9 yards (tackle by Eric Weddle),4.110,5.060
3,10:06,2,1,SDG 13,21,16,Joe Flacco middle for 2 yards (tackle by Stephen Cooper),5.060,4.840
3,10:06,1,10,SDG 11,21,16,Willis McGahee left end for 2 yards (tackle by Larry English),4.840,4.510
3,8:30,2,8,SDG 9,27,16,"Joe Flacco pass complete short left to Todd Heap for 9 yards, touchdown. Penalty on Larry English: Illegal Use of Hands (Declined)",4.510,7.000
3,,,,SDG 2,28,16,Steven Hauschka kicks extra point good,0.000,0.000
3,,,,BAL 30,28,16,Steven Hauschka kicks off 68 yards,0.000,1.600
3,8:24,1,10,SDG 40,28,16,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",1.600,1.270
3,8:24,1,15,SDG 35,28,16,Darren Sproles left tackle for 13 yards (tackle by Dawan Landry),1.270,2.130
3,7:43,2,2,SDG 48,28,16,Darren Sproles right tackle for 1 yard (tackle by Jarret Johnson),2.130,1.550
3,7:05,3,1,SDG 49,28,16,Jacob Hester middle for 1 yard (tackle by Kelly Gregg),1.550,2.260
3,6:23,1,10,,28,16,"Philip Rivers pass incomplete short middle intended for Vincent Jackson. Penalty on Brandyn Dombrowski: Offensive Holding, 10 yards (no play)",2.260,1.600
3,6:17,1,20,SDG 40,28,16,"Philip Rivers pass incomplete short left intended for Chris Chambers. Penalty on Domonique Foxworth: Defensive Pass Interfere, 12 yards, Penalty on Antwan Barnes: Defensive Offside (Declined) (no play)",1.600,2.390
3,6:10,1,10,BAL 48,28,16,Philip Rivers pass complete short left to Darren Sproles for 6 yards (tackle by Dawan Landry),2.390,2.660
3,5:36,2,4,BAL 42,28,16,Darren Sproles middle for no gain (tackle by Kelly Gregg),2.660,1.950
3,4:54,3,4,BAL 42,28,16,Philip Rivers pass complete short right to Chris Chambers for 15 yards (tackle by Brendon Ayanbadejo),1.950,3.780
3,4:10,1,10,BAL 27,28,16,"Philip Rivers pass incomplete deep left intended for Chris Chambers. Penalty on Jacob Hester: Chop Block, 15 yards (no play)",3.780,2.790
3,4:03,1,25,BAL 42,28,16,Philip Rivers pass complete short right to Michael Bennett for 1 yard (tackle by Ray Lewis),2.790,1.340
3,3:18,2,24,BAL 41,28,16,Philip Rivers pass complete short left to Antonio Gates for 6 yards (tackle by Chris Carr),1.340,1.490
3,2:33,3,18,BAL 35,28,22,"Philip Rivers pass complete deep left to Vincent Jackson for 35 yards, touchdown",1.490,7.000
3,,,,BAL 2,28,23,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,28,23,"Nate Kaeding kicks off 65 yards, returned by Chris Carr for 15 yards (tackle by Mike Tolbert)",0.000,0.280
3,2:22,1,10,BAL 20,28,23,Willis McGahee right end for 10 yards (tackle by Stephen Cooper),0.280,0.940
3,1:48,1,10,BAL 30,28,23,Willis McGahee right tackle for 7 yards (tackle by Jacques Cesaire and Kevin Burnett),0.940,1.340
3,1:07,2,3,BAL 37,28,23,Ray Rice left end for 1 yard (tackle by Eric Weddle),1.340,0.760
3,0:27,3,2,BAL 38,28,23,Joe Flacco pass complete short middle to Kelley Washington for 11 yards (tackle by Steve Gregory),0.760,2.190
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 49,28,23,Joe Flacco pass complete short left to Le'Ron McClain for 5 yards (tackle by Quentin Jammer and Tim Dobbins),2.190,2.320
4,14:24,2,5,SDG 46,28,23,Willis McGahee left end for 1 yard (tackle by Clinton Hart and Tim Dobbins),2.320,1.750
4,13:42,3,4,SDG 45,28,23,"Penalty on Michael Oher: False Start, 5 yards (no play)",1.750,1.090
4,13:23,3,9,,28,23,Joe Flacco pass complete deep middle to Kelley Washington for 18 yards (tackle by Steve Gregory),1.090,3.450
4,12:50,1,10,SDG 32,28,23,Ray Rice middle for 2 yards (tackle by Clinton Hart),3.450,3.170
4,12:11,2,8,SDG 30,28,23,Mark Clayton pass complete short left to Ray Rice for no gain,3.170,2.480
4,11:24,3,8,SDG 30,28,23,Joe Flacco pass incomplete short middle intended for Todd Heap is intercepted by Antoine Cason at SDG-22 and returned for 22 yards,2.480,-1.860
4,11:15,1,10,SDG 44,28,23,Philip Rivers pass complete deep right to Vincent Jackson for 16 yards (tackle by Fabian Washington),1.860,2.920
4,10:30,1,10,BAL 40,28,23,Philip Rivers pass incomplete deep middle intended for Antonio Gates,2.920,2.370
4,10:24,2,10,BAL 40,28,23,Philip Rivers pass complete short middle to Darren Sproles for 9 yards (tackle by Brendon Ayanbadejo),2.370,2.870
4,9:52,3,1,BAL 31,28,23,Philip Rivers middle for 1 yard (tackle by Terrell Suggs),2.870,3.580
4,9:22,1,10,BAL 30,28,23,Philip Rivers pass complete deep right to Antonio Gates for 20 yards (tackle by Fabian Washington),3.580,4.910
4,8:51,1,10,BAL 10,28,23,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",4.910,4.370
4,8:25,1,15,BAL 15,28,23,Philip Rivers middle for 3 yards (tackle by Haloti Ngata),4.370,3.860
4,7:43,2,12,BAL 12,28,23,Philip Rivers pass incomplete short right intended for Antonio Gates,3.860,3.100
4,7:36,3,12,BAL 12,28,23,Philip Rivers pass complete short right to Darren Sproles for 5 yards (tackle by Fabian Washington),3.100,2.970
4,7:14,4,7,BAL 7,28,26,Nate Kaeding 25 yard field goal good,2.970,3.000
4,,,,SDG 30,28,26,"Nate Kaeding kicks off 70 yards, returned by Chris Carr for 28 yards (tackle by Jyles Tucker)",0.000,0.810
4,7:04,1,10,BAL 28,28,26,Joe Flacco pass complete deep left to Mark Clayton for 20 yards (tackle by Eric Weddle),0.810,2.130
4,6:23,1,10,BAL 48,28,26,Willis McGahee right end for -3 yards (tackle by Eric Weddle),2.130,1.180
4,5:45,2,13,BAL 45,28,26,Joe Flacco pass incomplete short left intended for Mark Clayton,1.180,0.500
4,5:40,3,13,BAL 45,28,26,Joe Flacco pass complete short right to Ray Rice for 7 yards (tackle by Kevin Burnett),0.500,0.070
4,4:54,4,6,SDG 48,28,26,"Sam Koch punts 41 yards, fair catch by Darren Sproles",0.070,0.380
4,4:45,1,10,SDG 7,28,26,Philip Rivers pass incomplete deep left intended for Chris Chambers (defended by Domonique Foxworth),-0.380,-0.780
4,4:40,2,10,SDG 7,28,26,Philip Rivers pass incomplete short left intended for Vincent Jackson,-0.780,-1.420
4,4:35,3,10,SDG 7,28,26,Philip Rivers pass incomplete short left intended for Chris Chambers is intercepted by Antwan Barnes at SDG-17 and returned for 4 yards,-1.420,-4.710
4,4:28,1,10,SDG 13,28,26,Willis McGahee left end for -2 yards (tackle by Stephen Cooper and Quentin Jammer),4.710,3.760
4,3:44,2,12,SDG 15,28,26,Joe Flacco sacked by Luis Castillo for -9 yards,3.760,2.010
4,3:37,,,,28,26,Timeout #1 by San Diego Chargers,0.000,2.010
4,3:37,3,21,SDG 24,28,26,Ray Rice middle for 9 yards (tackle by Luis Castillo and Stephen Cooper),2.010,2.440
4,2:57,4,12,SDG 15,31,26,Steven Hauschka 33 yard field goal good,2.440,3.000
4,,,,BAL 30,31,26,"Steven Hauschka kicks off 71 yards, returned by Darren Sproles for 28 yards (tackle by Prescott Burgess)",0.000,0.740
4,2:48,1,10,SDG 27,31,26,Philip Rivers pass complete deep left to Vincent Jackson for 38 yards (tackle by Domonique Foxworth),0.740,3.250
4,2:04,1,10,BAL 35,31,26,Philip Rivers pass incomplete short left intended for Chris Chambers,3.250,2.700
4,1:59,2,10,BAL 35,31,26,Philip Rivers pass complete short right to Brandon Manumaleuna for 7 yards (tackle by Dawan Landry),2.700,2.940
4,1:31,3,3,BAL 28,31,26,Darren Sproles middle for 5 yards (tackle by Dawan Landry),2.940,4.040
4,0:57,1,10,BAL 23,31,26,Philip Rivers pass incomplete deep right intended for Legedu Naanee (defended by Frank Walker),4.040,3.500
4,0:52,2,10,BAL 23,31,26,Philip Rivers pass complete short right to Legedu Naanee for 8 yards (tackle by Brendon Ayanbadejo),3.500,4.050
4,0:41,,,,31,26,Timeout #2 by San Diego Chargers,0.000,4.050
4,0:41,3,2,BAL 15,31,26,Philip Rivers pass incomplete short right intended for Darren Sproles,4.050,2.570
4,0:37,4,2,BAL 15,31,26,Darren Sproles middle for -5 yards (tackle by Ray Lewis),2.570,-0.280
4,0:30,1,10,BAL 20,31,26,Joe Flacco kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
