Quarter,Time,Tm,Detail,LAR,SEA
1.0,6:17,Rams,Matt Gay 44 yard field goal,3,0
2.0,12:43,Seahawks,Jason Myers 45 yard field goal,3,3
,9:33,Rams,Matt Gay 51 yard field goal,6,3
,1:04,Seahawks,Jason Myers 49 yard field goal,6,6
3.0,10:32,Seahawks,Russell Wilson 4 yard rush (Jason Myers kick),6,13
4.0,12:49,Rams,Matt Gay 33 yard field goal,9,13
,2:51,Seahawks,Jacob Hollister 13 yard pass from Russell Wilson (Jason Myers kick),9,20
