Unnamed: 0,GNB,DET
First Downs,19,17
Rush-Yds-TDs,24-67-1,25-101-0
Cmp-Att-Yd-TD-INT,24-36-273-2-1,23-35-220-2-0
Sacked-Yards,3-27,3-15
Net Pass Yards,246,205
Total Yards,313,306
Fumbles-Lost,3-0,1-1
Turnovers,1,1
Penalties-Yards,7-55,9-108
Third Down Conv.,3-12,6-16
Fourth Down Conv.,1-1,1-1
Time of Possession,26:56,33:04
