Unnamed: 0,CIN,WAS
First Downs,19,17
Rush-Yds-TDs,34-99-1,20-87-0
Cmp-Att-Yd-TD-INT,24-39-217-1-2,19-46-216-1-3
Sacked-Yards,0-0,5-35
Net Pass Yards,217,181
Total Yards,316,268
Fumbles-Lost,1-1,1-0
Turnovers,3,3
Penalties-Yards,5-50,7-50
Third Down Conv.,8-17,4-16
Fourth Down Conv.,0-1,0-2
Time of Possession,32:50,27:10
