Quarter,Time,Tm,Detail,NYJ,MIA
1.0,9:31,Dolphins,Dan Carpenter 44 yard field goal,0,3
,5:51,Jets,Dustin Keller 1 yard pass from Mark Sanchez (Nick Folk kick),7,3
2.0,3:39,Jets,Nick Folk 31 yard field goal,10,3
,0:00,Dolphins,Dan Carpenter 58 yard field goal,10,6
4.0,10:27,Dolphins,Charles Clay 1 yard pass from Matt Moore (Dan Carpenter kick),10,13
,7:11,Dolphins,Dan Carpenter 40 yard field goal,10,16
,2:32,Dolphins,Dan Carpenter 44 yard field goal,10,19
,1:15,Jets,Patrick Turner 10 yard pass from Mark Sanchez (Nick Folk kick),17,19
