Unnamed: 0,SEA,GNB
First Downs,22,18
Rush-Yds-TDs,26-136-0,30-93-2
Cmp-Att-Yd-TD-INT,22-39-240-1-5,18-25-246-3-0
Sacked-Yards,3-22,1-9
Net Pass Yards,218,237
Total Yards,354,330
Fumbles-Lost,1-1,0-0
Turnovers,6,0
Penalties-Yards,7-63,5-50
Third Down Conv.,6-12,4-11
Fourth Down Conv.,0-1,0-1
Time of Possession,31:50,28:10
